,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
237,экспериментально фонетический анализ речь,2.29,0.0,0.0,2.0,3.7,2.7,0.6,0.0,0.5427,86.24,67.0
238,экспрессивный окраска языковой единица,2.36,0.0,0.0,0.1,2.2,2.7,1.5,0.5,0.4187,90.54,84.0
239,экспрессивный оценочный функция метафора,2.69,0.0,0.0,0.1,3.2,3.3,1.3,0.0,0.4525,90.04,79.0
240,экспрессивный средство английский язык,1.95,0.0,0.0,2.4,1.5,1.9,1.2,0.0,0.4584,89.7,77.0
241,элементарный единица русский синтаксис,3.98,0.0,0.0,0.2,5.3,4.6,2.0,0.5,0.4166,90.64,96.0
242,эмоционально чувственный компонент значение,1.81,0.0,0.0,0.0,0.0,2.1,1.4,0.9,0.506,85.14,66.0
243,эпитет русский литературный язык,2.32,0.0,0.0,2.2,1.7,2.6,1.1,0.9,0.4147,90.25,85.0
244,этнокультурный специфика речевой деятельность,2.7,0.0,0.0,0.0,0.0,2.9,2.5,0.5,0.5318,88.14,67.0
245,этнокультурный специфика языковой сознание,10.88,0.0,0.0,0.0,3.4,12.8,8.1,0.5,0.4245,90.01,95.0
246,язык логический анализ язык,5.98,0.0,0.0,0.0,4.4,7.3,3.4,0.9,0.3747,91.68,99.0
247,язык народ российский федерация,8.49,0.0,0.2,6.0,2.9,10.2,4.4,6.1,0.7444,78.11,57.0
248,язык научно технический литература,1.8,4.8,0.5,4.2,1.6,1.6,0.8,0.0,0.3831,90.38,86.0
249,язык средство массовый информация,9.34,0.0,0.3,0.5,3.4,5.7,13.0,9.4,0.4251,88.96,110.0
250,языковой картина мир носитель,2.15,0.0,0.0,0.0,0.4,2.0,2.3,0.5,0.4395,89.84,84.0
251,языковой сознание носитель язык,2.51,0.0,0.3,0.1,0.6,2.0,3.0,1.4,0.458,88.93,85.0
