термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
латинский язык,,16.8,13.4,19.9,15.4,18.4,22.4,12.7
эмоциональный концепт,,0.0,0.0,0.0,7.2,21.6,28.0,21.2
русский диалектология,,18.0,8.0,18.1,19.4,24.5,14.5,5.6
функциональный стилистика,,0.0,0.5,15.9,19.8,22.6,17.0,5.2
речевой взаимодействие,,0.0,0.2,3.8,12.1,20.8,24.3,11.8
языковой особенность,,6.0,17.3,13.6,14.8,17.6,23.7,13.6
английский фразеология,,0.0,4.4,19.5,22.3,22.0,16.0,2.4
именительный падеж,,120.9,33.2,19.2,24.4,13.6,20.9,9.9
сравнительный грамматика,,14.4,50.3,31.3,17.4,20.1,10.9,3.3
семантический свойство,,2.4,2.0,15.7,18.5,22.9,16.5,15.0
момент речь,,10.8,15.0,26.4,19.9,14.4,22.5,20.2
семантический изменение,,9.6,12.6,20.8,21.6,23.8,11.4,10.3
этимологический анализ,,9.6,8.8,11.2,13.8,22.3,17.9,9.4
грамматический система,,15.6,14.1,20.1,17.9,18.6,19.0,13.6
социолингвистический аспект,,0.0,0.7,7.2,16.4,23.3,17.8,10.3
,,6763930.3,6645739.2,7027610.3,7328261.7,7400801.7,7305486.6,7327127.4
глагольный лексика,,1.2,0.5,13.0,20.9,21.9,17.0,7.1
социальный лингвистика,,0.0,1.6,13.5,19.1,24.9,13.2,5.6
семантический прагматический,,0.0,0.0,0.2,10.8,22.9,20.6,7.5
политический лексика,,4.8,5.6,31.3,23.3,21.1,13.2,23.5
языкознание большой,,0.0,0.2,0.5,0.7,5.1,3.6,0.0
концепт дискурс,,0.0,0.0,0.0,0.1,15.9,32.0,14.1
финский язык,,6.0,8.2,10.3,23.3,16.0,26.4,52.7
этнокультурный специфика,,0.0,0.0,0.0,4.4,23.2,21.0,6.1
типологический анализ,,0.0,2.6,17.4,24.9,21.6,15.0,12.2
фразеологический оборот,,16.8,19.8,22.5,19.4,20.7,13.4,8.5
язык морфология,,0.0,1.5,6.0,6.7,6.6,5.7,1.4
сложносочиненный предложение,,2.4,35.3,20.1,28.9,20.1,10.0,3.8
французский стилистика,,0.0,1.1,18.6,24.1,22.9,12.0,2.8
повелительный наклонение,,19.1,39.4,30.1,13.8,16.0,15.9,8.5
семантика производный,,0.0,0.3,21.7,21.4,23.2,11.4,2.4
лингвокультурологический аспект,,0.0,0.0,0.0,5.3,20.3,24.5,6.1
японский язык,,1.2,10.1,14.0,17.2,19.9,20.6,23.0
внутренний речь,,4.8,3.6,9.3,18.0,22.2,16.0,2.4
стилистический средство,,8.4,10.8,21.0,18.5,23.3,17.5,13.6
синтаксический семантика,,0.0,1.8,37.3,36.2,19.0,9.8,1.4
заимствованный слово,,23.9,30.2,19.8,22.3,18.1,15.0,7.1
осетинский язык,,1.2,10.6,15.2,4.7,19.7,21.8,8.0
антропоцентрический парадигма,,0.0,0.0,0.0,0.8,18.5,26.6,11.8
основной значение,,25.1,31.7,24.3,20.8,16.0,15.3,30.6
языковой изменение,,3.6,4.7,6.6,13.0,22.8,16.7,15.5
старославянский язык,,35.9,21.1,16.4,28.3,17.5,15.4,11.8
европейский язык,,101.7,65.4,92.8,81.8,81.8,67.4,37.1
языковой круг,,0.0,0.0,0.0,0.2,15.0,30.7,12.2
частотность употребление,,2.4,6.0,16.8,15.3,19.9,16.9,19.3
коммуникативный единица,,6.0,1.6,17.9,32.9,21.9,10.0,2.4
языковой категория,,1.2,2.8,10.2,18.3,20.9,18.2,8.0
адыгейский язык,,0.0,1.6,4.3,20.5,26.9,12.2,8.9
односоставный предложение,,23.9,19.4,12.8,21.0,17.7,16.1,0.9
порождение речь,,1.2,0.0,2.9,23.0,22.1,15.2,9.4
категория род,,12.0,6.4,12.7,21.3,20.7,16.0,5.2
семантический уровень,,0.0,1.8,19.2,18.7,19.0,15.4,14.6
функциональный подход,,2.4,0.7,11.0,26.5,18.8,15.9,11.8
хакасский язык,,1.2,48.9,21.4,17.3,17.3,12.8,5.2
спонтанный речь,,0.0,0.3,12.2,12.9,19.6,17.1,9.4
болгарский язык,,28.7,35.3,14.9,14.3,19.7,15.3,7.5
коннотативный аспект,,0.0,0.0,3.3,20.7,23.7,12.6,4.7
фразеологический система,,0.0,3.3,19.2,16.0,18.6,16.1,4.2
случай употребление,,34.7,29.2,20.3,15.7,15.2,16.5,13.2
коммуникативный пространство,,0.0,0.0,0.0,2.7,13.6,28.8,27.7
класс глагол,,1.2,2.3,17.6,25.5,21.0,15.6,19.7
итальянский язык,,10.8,3.9,16.7,15.4,14.6,19.0,101.6
речевой практика,,32.3,9.3,8.2,12.9,18.0,18.6,8.5
речевой портрет,,0.0,3.1,2.9,9.6,16.7,25.4,12.2
оттенок значение,,25.1,22.4,30.7,21.5,16.3,11.8,7.1
дательный падеж,,33.5,53.1,23.3,14.6,11.1,18.6,8.0
грамматический структура,,8.4,15.2,23.2,21.4,18.2,12.6,6.6
мордовский язык,,0.0,4.7,21.0,24.3,21.9,13.5,7.1
ассоциативный связь,,2.4,5.4,9.4,13.6,21.5,14.2,4.7
номинация общий,,0.0,0.5,12.1,12.2,13.0,7.4,0.0
системный лексикография,,0.0,0.0,0.0,10.4,20.1,18.7,12.2
русский лексикография,,9.6,6.9,18.6,19.8,19.3,13.5,8.9
черкесский язык,,0.0,0.7,5.2,22.9,20.1,15.2,11.8
письменный язык,,20.3,67.3,34.0,26.5,18.7,14.9,27.7
лингвистический терминология,,2.4,4.6,5.4,13.4,20.4,16.3,3.8
политический метафора,,0.0,0.2,0.0,7.3,19.6,19.0,5.6
русский лексикология,,1.2,2.5,20.7,20.8,20.2,10.8,2.8
дискурс анализ,,0.0,0.0,0.0,2.5,11.8,29.9,22.1
прагматический функция,,0.0,0.0,9.8,17.8,18.6,15.7,15.5
окказиональный слово,,7.2,2.6,14.9,24.5,29.1,16.2,6.6
речевой стратегия,,0.0,0.0,0.0,9.8,18.2,20.0,19.7
когнитивный механизм,,0.0,0.0,0.0,7.4,14.8,24.2,26.3
родственный язык,,19.1,52.4,55.2,36.7,30.6,29.6,17.9
переходный глагол,,10.8,26.8,29.1,22.9,20.9,36.0,21.2
семантический процесс,,0.0,1.8,14.4,20.3,20.7,11.4,5.2
сфера употребление,,15.6,22.5,20.9,17.0,14.4,15.4,18.3
диалектный слово,,29.9,29.9,28.8,18.6,23.1,12.5,8.0
хантыйский язык,,1.2,0.3,0.6,1.0,15.0,24.8,33.9
семантический развитие,,2.4,17.8,19.0,14.1,15.0,15.8,4.2
межкультурный общение,,0.0,0.0,0.2,3.7,20.4,18.4,5.6
прагматический потенциал,,0.0,0.0,1.6,7.9,18.3,20.3,15.5
предикативный единица,,0.0,3.4,18.6,28.5,19.4,9.3,1.4
терминологический единица,,1.2,0.3,4.9,10.6,15.7,20.7,4.7
туркменский язык,,2.4,150.5,62.4,8.8,7.1,3.8,1.4
сравнительный конструкция,,0.0,3.6,4.7,31.7,16.5,14.5,11.3
прямой значение,,29.9,24.3,25.3,17.2,13.6,13.2,48.9
творительный падеж,,46.7,22.5,25.4,14.4,12.5,16.2,11.3
синтаксический организация,,2.4,2.5,22.4,22.7,17.4,11.0,5.2
молодежный жаргон,,2.4,0.7,1.7,17.8,23.3,11.2,12.2
селькупский язык,,0.0,1.6,6.6,11.0,11.8,23.5,32.0
лексикографический практика,,2.4,5.9,15.1,17.3,17.2,13.7,16.0
семантический описание,,0.0,0.2,7.5,19.2,19.3,12.0,6.1
функциональный синтаксис,,0.0,2.0,20.8,25.4,17.5,10.3,3.3
метафорический перенос,,0.0,5.1,7.5,13.5,18.6,14.6,22.6
глагольный лексема,,0.0,3.6,19.8,11.8,16.2,15.4,16.9
синтаксический позиция,,0.0,4.7,24.0,25.4,13.3,14.5,13.2
живой речь,,95.7,32.7,14.6,19.0,14.9,10.5,12.7
модель язык,,0.0,1.5,5.9,26.3,28.5,23.4,21.2
киргизский язык,,0.0,104.6,56.2,9.8,9.2,4.8,3.8
чеченский язык,,0.0,0.8,10.4,4.9,16.5,18.6,0.5
организация предложение,,0.0,2.3,26.3,25.4,16.8,9.1,1.4
семантический роль,,0.0,0.5,11.9,11.1,15.7,15.4,35.7
речевой высказывание,,0.0,1.0,9.7,18.6,18.9,11.4,9.9
польский язык,,19.1,23.2,17.1,16.9,16.7,12.5,9.4
фонетический система,,3.6,21.1,17.7,20.3,14.9,11.6,1.9
пассивный конструкция,,0.0,3.6,44.0,9.8,12.4,14.3,6.6
тип предикат,,0.0,1.0,13.9,27.7,17.9,12.4,5.2
семантика предложение,,0.0,2.5,19.3,27.4,16.6,9.7,1.4
метафорический значение,,4.8,8.8,18.5,17.4,14.9,11.9,46.1
категория состояние,,8.4,4.2,11.7,27.2,19.6,7.5,0.9
лингвистический дисциплина,,4.8,4.4,17.4,18.5,16.9,13.7,9.9
теоретический лингвистика,,0.0,0.5,12.0,18.8,17.9,11.6,7.1
коммуникативный компетенция,,0.0,0.0,2.6,8.9,17.6,16.7,13.2
язык дагестан,,0.0,1.0,6.5,19.2,21.4,17.1,1.9
коми язык,,0.0,3.9,8.4,13.8,16.1,16.9,13.2
сослагательный наклонение,,4.8,4.2,16.0,11.6,8.8,23.9,10.3
субъект речь,,0.0,1.0,3.3,16.1,20.5,10.9,4.7
русский орфография,,74.2,16.0,9.7,15.1,15.5,11.7,37.1
оценочный лексика,,0.0,0.3,8.6,24.8,17.1,11.5,3.3
стилистический характеристика,,9.6,4.9,20.4,19.4,17.5,13.9,8.9
субъективный модальность,,0.0,2.6,8.5,14.0,17.3,13.6,16.0
контрастивный лингвистика,,0.0,0.0,2.8,9.4,17.9,15.5,0.9
географический термин,,3.6,24.8,32.9,34.2,21.3,14.4,20.7
семантический функция,,0.0,7.8,23.1,22.9,17.0,8.3,2.8
коммуникативный деятельность,,1.2,1.3,1.4,14.3,17.7,14.3,10.3
косвенный речь,,2.4,22.9,18.5,4.7,11.0,16.9,29.6
пространственный значение,,4.8,4.1,18.9,11.0,13.5,16.2,10.8
концептуальный пространство,,0.0,0.0,0.0,2.0,14.5,21.6,5.2
тип речь,,7.2,3.8,15.4,26.1,17.3,8.9,6.6
языковый картина,,0.0,0.0,0.1,4.5,17.3,16.9,0.9
синтаксический анализ,,0.0,2.6,15.1,18.9,19.4,12.2,14.1
лексический сочетаемость,,3.6,7.4,31.8,19.8,15.2,8.9,6.1
оценочный компонент,,0.0,0.0,8.5,13.5,18.0,12.9,12.2
иноязычный лексика,,6.0,5.2,6.2,17.4,16.7,13.0,3.8
грамматический характеристика,,2.4,7.5,19.9,19.0,15.0,11.7,11.3
заимствованный лексика,,0.0,5.1,5.9,13.9,17.3,13.1,3.8
вариант слово,,7.2,16.7,29.4,17.5,16.6,8.6,3.8
медицинский терминология,,0.0,1.1,5.4,19.0,16.7,12.2,8.5
языковой концептуализация,,0.0,0.0,0.0,9.5,19.5,11.9,1.9
диахронический аспект,,0.0,1.8,5.5,10.6,14.5,16.7,11.3
языковой метафора,,2.4,0.0,6.7,16.0,17.6,11.2,6.1
глагольный словосочетание,,1.2,10.6,19.4,16.0,15.1,10.1,2.8
категория глагол,,3.6,10.5,19.9,22.7,20.7,13.9,6.1
выражение модальность,,0.0,4.6,16.2,17.0,17.1,9.2,2.8
сложный глагол,,4.8,32.8,19.5,9.7,18.8,14.8,26.8
крылатый выражение,,28.7,5.9,8.1,15.9,14.3,14.6,3.8
отраслевой лексика,,0.0,0.7,2.1,4.5,15.3,17.5,0.0
синтаксический модель,,2.4,5.2,21.0,25.3,14.9,8.5,5.6
объективный картина,,3.6,0.7,1.9,10.8,18.3,11.9,4.2
категория язык,,0.0,2.9,7.9,17.0,20.3,17.4,5.6
речевой средство,,25.1,14.1,9.6,14.5,15.6,11.0,4.7
косвенный падеж,,50.3,20.6,15.1,20.4,10.1,15.1,19.7
исторический языкознание,,8.4,8.3,11.6,16.0,13.5,13.0,8.9
речевой единица,,0.0,3.1,19.5,14.7,14.8,11.0,2.4
деловой стиль,,31.1,5.9,8.4,12.2,17.1,10.9,0.9
языковой способность,,0.0,0.0,0.9,11.2,16.0,14.5,16.5
фразеологический сочетание,,7.2,30.4,22.9,12.9,13.5,8.6,1.4
коммуникативный структура,,0.0,0.2,10.2,15.4,15.7,11.4,7.5
коммуникативный процесс,,0.0,0.0,2.5,9.7,13.8,17.3,3.8
морфологический особенность,,0.0,19.8,12.9,8.2,14.1,11.9,8.9
синтаксический строй,,12.0,23.4,19.0,20.4,15.0,6.2,1.4
публицистический дискурс,,0.0,0.0,0.0,1.3,12.5,20.0,31.0
коммуникативный грамматика,,0.0,0.0,2.6,11.6,17.8,11.3,4.2
второстепенный член,,19.1,21.9,28.2,19.7,12.6,7.4,0.5
адыгских язык,,0.0,1.3,5.3,26.6,16.3,8.9,6.6
лингвистический учение,,0.0,1.0,7.0,10.2,15.9,12.5,2.8
номинативный аспект,,0.0,0.7,5.9,19.1,17.2,8.9,4.2
лексический фонд,,3.6,10.5,16.9,13.5,11.4,13.8,18.3
научный дискурс,,0.0,0.0,0.0,4.1,12.0,21.5,11.3
фразеологический состав,,0.0,1.8,20.1,9.2,15.6,10.6,4.7
синтаксический свойство,,3.6,4.4,18.3,18.1,13.0,11.4,13.2
форма речь,,20.3,10.6,11.8,19.2,15.0,8.6,8.9
текстовый категория,,0.0,0.0,3.0,12.1,17.3,11.3,2.8
публичный речь,,3.6,2.1,6.3,7.6,17.2,11.3,7.5
философия грамматика,,0.0,0.8,13.1,17.7,15.2,9.6,1.9
типологический характеристика,,0.0,5.7,10.1,13.5,15.0,11.5,7.1
лингвистический типология,,0.0,2.1,15.9,14.6,16.3,11.1,6.6
местный падеж,,1.2,33.5,19.5,15.6,9.3,15.3,11.8
функциональный разновидность,,3.6,3.1,12.9,17.9,16.6,7.8,2.8
структура глагол,,0.0,9.1,22.4,24.8,21.7,13.5,8.9
словесный знак,,1.2,5.1,17.3,19.6,15.3,8.1,7.1
языковой реализация,,0.0,0.2,1.8,10.4,16.1,12.9,6.6
устойчивый фраза,,0.0,1.1,13.8,13.9,15.0,10.3,3.3
коммуникативный намерение,,0.0,0.0,5.0,12.9,15.7,11.5,3.8
сопоставительный лексикология,,0.0,2.1,11.2,13.5,15.3,10.4,2.4
рутульский язык,,0.0,0.5,0.7,13.1,14.1,14.8,18.3
аспект лингвистический,,0.0,0.8,4.9,13.2,15.9,10.6,3.8
исторический морфология,,1.2,9.3,15.4,13.5,13.9,10.0,2.8
часть речь,,68.2,171.4,268.4,272.0,269.3,177.4,79.0
английский речь,,1.2,0.3,7.7,15.2,14.9,11.0,4.7
концептуальный поле,,0.0,0.0,0.1,1.3,14.4,16.7,3.8
речевой сообщение,,0.0,1.0,9.4,18.2,16.4,7.6,2.8
корейский язык,,1.2,3.4,2.5,9.1,16.9,12.2,22.6
белорусский язык,,19.1,30.1,44.8,13.4,9.9,9.1,5.2
чешский язык,,12.0,7.8,11.8,17.4,14.2,12.1,5.2
сопоставительный грамматика,,0.0,6.5,12.8,12.0,15.6,9.1,0.9
маньчжурский язык,,6.0,22.1,17.0,5.4,12.1,12.2,18.3
неопределенный местоимение,,6.0,2.9,13.8,8.5,12.0,14.1,12.7
экспрессивный средство,,0.0,2.0,13.7,16.6,13.8,9.8,2.4
прагматический характеристика,,0.0,0.0,3.0,10.8,14.4,13.4,11.3
восточнославянский язык,,12.0,21.1,38.8,16.6,11.9,7.1,5.2
экспрессивный синтаксис,,0.0,0.7,5.0,14.6,14.9,10.6,4.7
грамматический описание,,0.0,7.5,13.8,16.9,12.4,11.1,10.8
коммуникативный лингвистика,,0.0,0.0,8.2,13.1,14.2,10.9,2.8
сочинительный союз,,3.6,14.5,8.2,12.9,13.1,10.9,6.1
вводный слово,,8.4,21.9,14.7,14.1,12.2,9.9,21.6
диалектный речь,,23.9,14.7,14.5,13.8,13.1,8.8,7.1
каракалпакский язык,,0.0,127.8,50.4,8.5,4.1,2.5,1.9
лексический синонимия,,3.6,0.8,16.6,18.5,14.9,6.5,3.3
именной словосочетание,,9.6,8.2,17.9,16.0,15.5,6.0,4.7
концептуальный признак,,0.0,0.0,0.2,0.3,15.8,13.1,3.3
субъективный оценка,,10.8,7.8,18.9,18.7,12.6,8.7,7.1
грамматический свойство,,3.6,3.9,9.7,16.2,14.0,9.3,4.2
лингвистический интерпретация,,0.0,1.3,9.4,16.0,17.7,14.6,4.2
субъект действие,,15.6,15.8,19.7,13.0,11.6,8.8,6.6
смысловой восприятие,,0.0,1.1,8.2,17.4,15.6,7.0,0.9
метафорический моделирование,,0.0,0.0,0.0,1.6,9.2,20.8,12.7
германский языкознание,,0.0,1.5,26.5,15.4,12.6,7.3,1.4
структура семантика,,0.0,0.0,4.2,11.2,13.1,11.6,4.2
русский фразеологизм,,1.2,2.3,6.1,12.4,14.2,10.1,2.4
русский двуязычие,,0.0,3.1,22.5,13.5,14.4,6.2,5.2
авторский речь,,58.6,27.0,33.6,12.2,9.4,7.1,3.3
главный предложение,,2.4,33.3,17.7,12.7,10.0,8.7,20.2
языковой компетенция,,0.0,0.0,2.9,5.9,15.4,11.3,16.5
греческий язык,,22.7,10.6,18.1,22.4,14.5,23.0,4.7
речевой реализация,,0.0,0.8,8.5,19.0,13.7,8.5,2.8
именной словообразование,,1.2,16.5,14.6,12.2,12.7,7.9,0.9
глагольный категория,,0.0,6.0,11.5,15.0,12.0,10.8,10.8
категория падеж,,0.0,17.3,18.0,12.2,10.9,10.0,4.2
номинативный предложение,,9.6,4.4,14.7,7.4,13.4,9.8,0.9
лингвистический парадигма,,0.0,0.0,0.1,6.4,14.8,13.4,8.0
тип семантический,,0.0,0.8,19.5,12.9,13.6,7.3,4.2
когнитивный признак,,0.0,0.0,0.0,0.1,14.0,14.2,7.5
языковой деятельность,,1.2,0.5,3.1,17.5,15.0,9.9,7.1
лингвистический средство,,0.0,1.5,12.8,18.1,18.8,16.1,12.2
исходный значение,,12.0,10.8,9.3,9.9,11.4,11.6,22.6
контекстный семантика,,0.0,0.2,19.1,16.6,13.7,6.2,0.5
синтаксический категория,,2.4,11.9,15.6,16.8,11.9,7.7,4.2
неродной язык,,1.2,0.8,7.7,16.0,13.6,9.1,4.7
мягкий согласный,,26.3,12.4,10.6,10.3,9.5,14.0,9.9
явление язык,,6.0,8.2,18.6,20.1,26.6,21.0,12.7
литературный речь,,87.4,32.5,15.2,16.5,10.9,6.6,2.4
семантический представление,,2.4,1.6,3.6,9.1,15.9,9.0,6.6
лингвистический статус,,0.0,0.3,11.3,12.3,12.4,13.1,9.4
язык второй,,10.8,7.4,8.8,10.2,9.3,6.5,10.8
лингвистический эксперимент,,0.0,1.3,10.2,22.3,30.5,26.6,17.9
возвратный глагол,,7.2,5.6,15.4,7.2,14.7,11.1,4.7
языковой категоризации,,0.0,0.0,0.1,3.2,15.9,11.1,0.9
модель предложение,,1.2,4.1,23.8,22.9,11.9,5.6,1.9
институциональный дискурс,,0.0,0.0,0.0,0.3,9.9,19.1,8.0
коммуникативный тип,,0.0,0.8,15.5,20.4,15.8,11.1,0.9
экспрессивный лексика,,0.0,1.3,3.6,14.0,16.8,6.6,2.8
языковой семья,,10.8,6.4,11.3,7.9,13.6,9.4,14.1
семантический потенциал,,0.0,3.4,7.3,17.0,12.8,10.0,4.2
прагматический подход,,0.0,0.0,1.8,7.4,12.5,14.6,7.1
стилистический окраска,,59.8,22.5,18.5,15.4,10.9,6.8,4.2
народный речь,,46.7,48.9,21.9,13.0,9.6,6.3,6.6
прагматический установка,,0.0,0.0,8.4,12.8,13.5,8.9,7.5
язык анализ,,1.2,2.3,6.8,7.8,9.3,8.1,3.8
лексический атлас,,0.0,0.7,1.8,9.7,14.9,9.9,3.3
лексический элемент,,2.4,25.3,21.3,12.9,10.7,6.6,4.7
русский идеография,,0.0,0.2,8.9,13.0,14.0,7.8,1.4
вид глагол,,4.8,4.4,14.3,19.3,12.3,9.0,5.6
восприятие речь,,16.8,1.5,8.7,7.1,13.3,10.1,5.6
обыденный сознание,,0.0,0.0,0.5,7.1,14.3,10.6,11.3
деловой дискурс,,0.0,0.0,0.0,0.1,8.5,20.2,19.7
берестяной грамота,,41.9,13.7,5.4,11.2,9.1,11.5,45.1
корневой морфема,,3.6,20.4,18.0,14.4,9.3,8.4,25.4
ментальный действие,,0.0,0.0,0.1,12.0,16.3,9.0,3.8
человеческий язык,,2.4,3.3,9.6,13.6,12.3,10.0,5.2
словообразовательный семантика,,0.0,0.2,14.2,12.9,14.3,6.0,1.4
лексический структура,,0.0,0.8,1.4,12.3,16.5,6.4,2.4
обучение язык,,2.4,3.9,11.2,17.7,11.7,9.4,6.1
сопоставительный лингвистика,,0.0,0.2,7.0,10.9,13.1,9.6,4.7
система языковой,,0.0,0.7,7.0,11.0,12.9,9.6,3.8
категория определенность,,0.0,6.5,10.5,9.7,13.3,8.7,0.0
исторический фонетика,,15.6,27.3,17.2,10.1,8.9,9.4,7.5
приставочный глагол,,8.4,7.5,9.0,17.6,14.1,19.5,24.0
ингушский язык,,0.0,1.0,8.6,2.4,13.0,12.1,0.0
непереходный глагол,,3.6,11.9,9.8,10.1,8.7,13.7,8.5
время глагол,,7.2,20.3,13.9,10.3,9.7,9.9,5.2
разговорный лексика,,13.2,6.5,17.9,11.3,11.5,8.9,10.8
подчинительный союз,,2.4,11.8,11.3,14.2,13.4,6.2,4.2
именной сказуемое,,9.6,9.5,27.3,19.4,7.2,9.2,9.9
основной единица,,0.0,4.4,11.7,13.3,12.1,8.6,4.2
язык человек,,1.2,2.5,2.2,3.5,5.3,7.5,8.9
лексический особенность,,1.2,15.2,11.1,7.1,10.0,10.8,8.9
процесс заимствование,,0.0,2.6,5.6,11.8,12.0,10.1,4.7
однокоренной слово,,26.3,7.2,7.1,10.3,13.7,8.8,3.3
категория лицо,,8.4,8.3,10.5,13.3,10.2,9.9,2.4
сфера функционирование,,0.0,1.6,12.2,13.8,11.2,9.1,10.3
психолингвистический подход,,0.0,0.0,0.4,4.1,13.5,12.3,6.1
форма язык,,13.2,9.5,16.7,24.1,21.1,16.7,13.6
модальный частица,,0.0,4.9,9.1,14.9,10.2,10.5,10.8
молодежный сленг,,0.0,0.2,0.1,4.4,15.1,9.0,7.1
грамматический разряд,,1.2,3.4,14.0,18.5,11.9,6.6,5.6
лингвистический единица,,0.0,2.6,16.3,19.0,19.8,9.1,6.1
изъявительный наклонение,,9.6,29.4,21.0,8.0,8.8,7.6,3.3
звуковой строй,,3.6,16.8,16.4,16.9,10.2,6.3,3.8
субстантивный словосочетание,,0.0,2.0,15.8,9.5,13.9,5.3,0.5
синтаксический целое,,6.0,9.6,15.9,14.7,11.0,6.6,1.4
долгий гласный,,4.8,52.6,15.9,7.1,6.1,9.3,8.9
терминологический словосочетание,,0.0,3.6,7.9,7.6,12.1,9.6,4.7
метонимический перенос,,2.4,1.6,6.6,8.6,13.6,7.6,16.5
языковой семантика,,0.0,1.5,3.7,10.1,14.5,8.3,9.4
производный значение,,1.2,7.5,8.0,8.5,13.3,9.0,12.2
монологический речь,,1.2,2.1,15.6,16.9,11.7,6.0,0.5
лингвистический категория,,0.0,1.5,10.2,11.5,12.7,9.9,4.7
оценочный семантика,,0.0,0.5,2.5,7.5,12.4,10.6,4.7
теория номинация,,0.0,1.0,9.8,9.4,11.7,8.9,2.4
язык фольклор,,3.6,9.5,12.3,13.0,11.1,9.6,0.0
гласный фонема,,7.2,30.7,25.0,17.3,18.1,15.2,7.5
фразеологический средство,,2.4,1.0,8.2,9.6,12.7,7.9,0.0
будущее время,,2.4,17.0,11.6,6.6,6.5,14.2,21.6
происхождение слово,,45.5,36.8,14.6,11.0,7.0,10.2,9.4
языковой коммуникация,,1.2,0.7,6.7,13.6,16.0,12.5,4.2
союзный слово,,1.2,15.8,15.3,8.5,12.1,5.5,4.2
педагогический дискурс,,0.0,0.0,0.0,0.3,10.4,12.6,49.8
ментальный пространство,,0.0,0.0,0.0,4.0,13.2,11.0,6.1
группа лексика,,1.2,2.8,14.4,9.1,11.3,8.5,7.1
стилистический фигура,,13.2,3.6,6.4,8.9,13.2,7.4,3.3
диалогический дискурс,,0.0,0.0,0.1,8.7,11.7,11.2,1.9
семантический содержание,,1.2,3.8,15.5,10.6,11.4,7.4,7.1
категория имя,,0.0,7.8,8.9,17.0,10.6,8.3,4.2
глагол тип,,4.8,12.1,10.0,11.6,7.8,12.3,19.7
психолингвистический анализ,,0.0,0.0,2.0,10.5,12.7,9.3,7.5
андийский язык,,0.0,0.2,4.0,10.5,10.2,13.0,0.5
лингвистический явление,,1.2,3.4,10.6,14.5,14.1,10.0,8.5
речевой форма,,6.0,4.1,15.2,12.1,12.2,7.4,8.5
лингвистический экспертиза,,0.0,0.0,0.2,1.0,4.1,22.4,8.0
общенародный язык,,34.7,29.4,25.3,11.0,9.2,4.6,1.9
каузативный глагол,,1.2,3.1,11.6,9.5,11.7,8.2,7.5
категория залог,,0.0,9.1,24.1,6.7,9.9,7.8,0.9
фонетический изменение,,6.0,24.0,15.7,9.8,8.4,7.8,3.8
семантический интерпретация,,1.2,1.5,10.8,12.1,11.9,7.0,5.2
социальный диалект,,8.4,3.4,6.5,9.6,15.4,7.5,4.2
русский заимствование,,4.8,17.3,16.2,9.7,9.5,7.6,5.2
семантический преобразование,,2.4,2.1,13.8,10.3,12.3,6.0,5.6
лексикон человек,,0.0,0.0,0.7,10.8,13.3,7.7,3.8
притяжательный местоимение,,0.0,4.2,7.2,6.1,7.6,14.4,4.2
второй язык,,8.4,3.1,9.2,9.0,11.8,8.3,7.1
ненецкий язык,,0.0,0.5,3.6,1.5,8.2,14.3,60.2
лексикографический аспект,,0.0,0.5,1.2,8.9,11.5,10.3,4.7
ударный гласный,,25.1,48.2,24.0,12.9,13.9,21.3,32.0
глубинный структура,,0.0,1.8,19.3,12.9,11.2,5.5,3.8
фразеологический фонд,,0.0,2.3,10.5,10.0,10.1,9.5,8.0
технический термин,,47.9,20.6,70.8,56.2,59.5,45.9,10.8
бытовой лексика,,2.4,4.6,8.9,11.6,11.3,7.7,3.3
поле концепт,,0.0,0.0,0.0,0.6,13.0,11.4,5.6
южный диалект,,0.0,25.8,19.1,7.1,4.4,13.1,38.1
семантика время,,0.0,0.5,0.5,10.3,12.0,8.9,6.1
иранский язык,,6.0,12.6,16.3,11.0,12.2,22.0,38.6
фразеологический выражение,,6.0,7.4,4.1,5.0,10.2,12.4,7.1
повествовательный предложение,,0.0,4.1,13.5,15.8,11.2,5.5,1.4
инфинитивный предложение,,49.1,2.0,5.6,11.0,10.6,8.9,0.0
семантический сдвиг,,3.6,5.1,13.7,8.7,9.8,7.7,30.1
уйгурский язык,,1.2,94.4,46.1,7.3,5.2,5.4,2.4
аспектуальный значение,,0.0,1.1,2.4,8.0,9.4,12.2,8.9
лексический повтор,,1.2,4.2,9.8,15.9,11.0,7.2,2.4
иноязычный заимствование,,2.4,7.8,6.1,12.6,11.2,7.6,4.2
когнитивный моделирование,,0.0,0.0,0.0,3.4,9.2,14.2,12.2
речевой характеристика,,61.0,15.4,14.3,9.1,8.3,7.3,4.7
гносеологический аспект,,0.0,0.2,16.7,11.2,10.3,6.6,1.4
предикат предложение,,0.0,0.0,3.9,6.5,4.3,2.7,1.4
видовой значение,,0.0,4.6,9.3,13.3,11.2,6.7,0.9
глагол действие,,2.4,4.1,5.9,13.5,12.0,6.1,6.6
смысловой организация,,1.2,0.2,6.3,10.5,11.8,6.9,1.9
словесный ударение,,1.2,9.0,25.5,8.6,9.4,5.2,4.2
неполный предложение,,4.8,8.8,10.0,15.1,9.8,6.4,0.5
деловой язык,,13.2,11.1,9.0,8.9,10.6,6.9,0.9
абстрактный понятие,,1.2,6.0,5.5,10.5,10.7,8.3,7.1
