,термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е
339,языковой форма,26.99,14.4,6.0,13.6,26.7,25.4,19.1,19.7
340,теория словесность,25.63,0.0,2.6,6.7,11.3,27.0,20.2,5.2
341,язык газета,25.8,52.7,12.3,26.1,37.6,24.0,12.2,5.2
342,английский глагол,29.15,1.2,1.5,23.4,23.5,27.7,20.7,16.0
343,язык культурный,8.89,1.2,0.3,0.4,5.7,10.7,5.4,1.9
344,аспект семантический,25.02,0.0,0.3,29.1,33.3,25.2,11.3,8.0
345,теория грамматика,26.84,2.4,2.0,21.8,25.4,23.0,21.4,8.9
346,русский писатель,26.74,27.5,34.5,23.8,25.1,22.4,17.3,9.4
347,персидский язык,27.2,1.2,37.1,35.0,12.1,13.9,28.9,32.0
348,синтаксический отношение,25.5,3.6,17.8,38.4,29.2,22.7,12.2,11.8
349,терминологический лексика,26.47,8.4,7.4,34.0,24.8,24.2,16.1,4.7
350,структурный схема,25.44,4.8,2.6,24.9,34.1,22.7,16.2,2.4
351,язык советский,21.38,34.7,24.8,23.7,24.7,19.9,9.5,6.1
352,вторичный номинация,25.32,0.0,0.2,14.7,19.6,26.7,16.5,8.0
353,глагол речь,25.05,16.8,19.8,18.7,22.9,20.8,18.2,29.2
354,связь слово,29.59,25.1,18.1,38.6,38.6,28.3,12.3,4.7
355,грамматический особенность,25.07,0.0,19.8,25.3,21.7,20.3,18.4,17.4
356,сопоставительный аспект,29.45,0.0,0.7,6.3,10.7,26.0,29.9,24.0
357,художественный дискурс,25.09,0.0,0.0,0.0,7.8,19.2,31.0,16.0
358,функциональный тип,29.48,0.0,1.3,28.6,35.4,29.4,15.8,10.8
359,аналитический конструкция,24.5,0.0,11.6,29.1,27.3,21.6,14.7,8.9
360,морфологический структура,24.46,2.4,19.1,28.6,24.9,22.5,13.3,6.1
361,безличный предложение,24.37,10.8,14.9,15.3,30.9,22.6,15.1,0.5
362,лексический уровень,24.62,0.0,3.1,11.5,21.3,25.8,15.8,11.3
363,стилистический аспект,28.47,0.0,1.0,15.3,27.6,28.4,19.6,7.1
364,церковнославянский язык,25.73,51.5,26.0,16.3,30.6,19.3,20.0,7.5
365,оценочный значение,24.52,0.0,5.9,19.9,18.9,22.6,18.1,9.9
366,крылатый слово,24.42,51.5,20.7,12.3,28.4,20.7,17.3,3.8
367,стилистический анализ,31.66,1.2,4.7,30.0,31.1,29.8,20.5,8.5
368,украинский язык,26.13,46.7,31.9,69.1,15.3,16.9,15.3,10.8
369,речевой мышление,23.97,0.0,3.4,17.5,29.4,25.8,11.5,2.8
370,фразеологический семантика,24.03,0.0,0.0,3.4,11.1,25.5,19.6,5.2
371,калмыцкий язык,24.82,0.0,2.1,3.6,7.8,29.4,16.7,8.0
372,специфика языковой,23.73,0.0,0.5,1.8,9.8,25.0,20.0,5.2
373,аналитический форма,24.68,59.8,30.6,35.8,18.9,16.9,18.3,8.5
374,категориальный значение,24.57,2.4,2.1,31.0,29.8,25.9,9.9,1.4
375,машинный перевод,24.03,6.0,8.8,32.7,19.1,22.1,14.3,11.3
376,языковый контакт,24.44,1.2,15.5,24.4,18.9,18.6,20.3,23.0
377,табасаранский язык,24.24,0.0,2.0,2.6,43.0,23.1,15.8,0.9
378,особенность употребление,23.66,3.6,9.1,14.9,16.0,20.9,19.4,14.1
379,сочетаемость слово,24.99,12.0,7.8,32.0,28.2,23.4,13.0,9.4
380,языковой процесс,26.21,3.6,4.9,15.6,23.3,24.7,19.2,12.2
381,строй язык,23.8,2.4,21.6,43.5,25.5,20.1,11.3,3.8
382,первый слог,24.38,29.9,49.3,20.5,10.3,6.1,34.4,20.7
383,латинский язык,24.33,16.8,13.4,19.9,15.4,18.4,22.4,12.7
384,эмоциональный концепт,25.18,0.0,0.0,0.0,7.2,21.6,28.0,21.2
385,русский диалектология,24.06,18.0,8.0,18.1,19.4,24.5,14.5,5.6
386,функциональный стилистика,23.42,0.0,0.5,15.9,19.8,22.6,17.0,5.2
387,речевой взаимодействие,23.76,0.0,0.2,3.8,12.1,20.8,24.3,11.8
388,языковой особенность,23.96,6.0,17.3,13.6,14.8,17.6,23.7,13.6
389,английский фразеология,23.38,0.0,4.4,19.5,22.3,22.0,16.0,2.4
390,именительный падеж,23.56,120.9,33.2,19.2,24.4,13.6,20.9,9.9
391,сравнительный грамматика,23.26,14.4,50.3,31.3,17.4,20.1,10.9,3.3
392,семантический свойство,23.48,2.4,2.0,15.7,18.5,22.9,16.5,15.0
393,момент речь,23.37,10.8,15.0,26.4,19.9,14.4,22.5,20.2
394,семантический изменение,23.07,9.6,12.6,20.8,21.6,23.8,11.4,10.3
395,этимологический анализ,23.14,9.6,8.8,11.2,13.8,22.3,17.9,9.4
396,грамматический система,23.24,15.6,14.1,20.1,17.9,18.6,19.0,13.6
397,социолингвистический аспект,23.06,0.0,0.7,7.2,16.4,23.3,17.8,10.3
398,глагольный лексика,22.87,1.2,0.5,13.0,20.9,21.9,17.0,7.1
399,социальный лингвистика,22.81,0.0,1.6,13.5,19.1,24.9,13.2,5.6
400,семантический прагматический,22.75,0.0,0.0,0.2,10.8,22.9,20.6,7.5
401,политический лексика,23.34,4.8,5.6,31.3,23.3,21.1,13.2,23.5
402,языкознание большой,4.5,0.0,0.2,0.5,0.7,5.1,3.6,0.0
403,концепт дискурс,22.94,0.0,0.0,0.0,0.1,15.9,32.0,14.1
404,финский язык,24.96,6.0,8.2,10.3,23.3,16.0,26.4,52.7
405,этнокультурный специфика,22.45,0.0,0.0,0.0,4.4,23.2,21.0,6.1
406,типологический анализ,22.88,0.0,2.6,17.4,24.9,21.6,15.0,12.2
407,фразеологический оборот,22.55,16.8,19.8,22.5,19.4,20.7,13.4,8.5
408,язык морфология,7.44,0.0,1.5,6.0,6.7,6.6,5.7,1.4
409,сложносочиненный предложение,22.08,2.4,35.3,20.1,28.9,20.1,10.0,3.8
410,французский стилистика,22.06,0.0,1.1,18.6,24.1,22.9,12.0,2.8
411,повелительный наклонение,22.25,19.1,39.4,30.1,13.8,16.0,15.9,8.5
412,семантика производный,21.95,0.0,0.3,21.7,21.4,23.2,11.4,2.4
413,лингвокультурологический аспект,22.44,0.0,0.0,0.0,5.3,20.3,24.5,6.1
414,японский язык,23.89,1.2,10.1,14.0,17.2,19.9,20.6,23.0
415,внутренний речь,22.12,4.8,3.6,9.3,18.0,22.2,16.0,2.4
416,стилистический средство,25.11,8.4,10.8,21.0,18.5,23.3,17.5,13.6
417,синтаксический семантика,21.92,0.0,1.8,37.3,36.2,19.0,9.8,1.4
418,заимствованный слово,22.41,23.9,30.2,19.8,22.3,18.1,15.0,7.1
419,осетинский язык,22.92,1.2,10.6,15.2,4.7,19.7,21.8,8.0
420,антропоцентрический парадигма,22.05,0.0,0.0,0.0,0.8,18.5,26.6,11.8
421,основной значение,22.2,25.1,31.7,24.3,20.8,16.0,15.3,30.6
422,языковой изменение,22.26,3.6,4.7,6.6,13.0,22.8,16.7,15.5
423,старославянский язык,22.23,35.9,21.1,16.4,28.3,17.5,15.4,11.8
424,европейский язык,95.93,101.7,65.4,92.8,81.8,81.8,67.4,37.1
425,языковой круг,21.81,0.0,0.0,0.0,0.2,15.0,30.7,12.2
426,частотность употребление,22.07,2.4,6.0,16.8,15.3,19.9,16.9,19.3
427,коммуникативный единица,21.53,6.0,1.6,17.9,32.9,21.9,10.0,2.4
428,языковой категория,22.48,1.2,2.8,10.2,18.3,20.9,18.2,8.0
429,адыгейский язык,22.82,0.0,1.6,4.3,20.5,26.9,12.2,8.9
430,односоставный предложение,21.23,23.9,19.4,12.8,21.0,17.7,16.1,0.9
431,порождение речь,21.51,1.2,0.0,2.9,23.0,22.1,15.2,9.4
432,категория род,22.16,12.0,6.4,12.7,21.3,20.7,16.0,5.2
433,семантический уровень,21.19,0.0,1.8,19.2,18.7,19.0,15.4,14.6
434,функциональный подход,21.18,2.4,0.7,11.0,26.5,18.8,15.9,11.8
435,хакасский язык,21.48,1.2,48.9,21.4,17.3,17.3,12.8,5.2
436,спонтанный речь,20.79,0.0,0.3,12.2,12.9,19.6,17.1,9.4
437,болгарский язык,22.48,28.7,35.3,14.9,14.3,19.7,15.3,7.5
438,коннотативный аспект,21.0,0.0,0.0,3.3,20.7,23.7,12.6,4.7
439,фразеологический система,20.86,0.0,3.3,19.2,16.0,18.6,16.1,4.2
440,случай употребление,20.98,34.7,29.2,20.3,15.7,15.2,16.5,13.2
441,коммуникативный пространство,20.8,0.0,0.0,0.0,2.7,13.6,28.8,27.7
442,класс глагол,23.01,1.2,2.3,17.6,25.5,21.0,15.6,19.7
443,итальянский язык,21.5,10.8,3.9,16.7,15.4,14.6,19.0,101.6
444,речевой практика,20.91,32.3,9.3,8.2,12.9,18.0,18.6,8.5
445,речевой портрет,21.84,0.0,3.1,2.9,9.6,16.7,25.4,12.2
446,оттенок значение,20.59,25.1,22.4,30.7,21.5,16.3,11.8,7.1
447,дательный падеж,21.0,33.5,53.1,23.3,14.6,11.1,18.6,8.0
448,грамматический структура,20.81,8.4,15.2,23.2,21.4,18.2,12.6,6.6
449,мордовский язык,22.68,0.0,4.7,21.0,24.3,21.9,13.5,7.1
450,ассоциативный связь,20.64,2.4,5.4,9.4,13.6,21.5,14.2,4.7
451,номинация общий,12.74,0.0,0.5,12.1,12.2,13.0,7.4,0.0
452,системный лексикография,20.46,0.0,0.0,0.0,10.4,20.1,18.7,12.2
453,русский лексикография,20.79,9.6,6.9,18.6,19.8,19.3,13.5,8.9
454,черкесский язык,20.69,0.0,0.7,5.2,22.9,20.1,15.2,11.8
455,письменный язык,26.77,20.3,67.3,34.0,26.5,18.7,14.9,27.7
456,лингвистический терминология,20.45,2.4,4.6,5.4,13.4,20.4,16.3,3.8
457,политический метафора,19.92,0.0,0.2,0.0,7.3,19.6,19.0,5.6
458,русский лексикология,20.0,1.2,2.5,20.7,20.8,20.2,10.8,2.8
459,дискурс анализ,20.11,0.0,0.0,0.0,2.5,11.8,29.9,22.1
460,прагматический функция,20.03,0.0,0.0,9.8,17.8,18.6,15.7,15.5
461,окказиональный слово,27.2,7.2,2.6,14.9,24.5,29.1,16.2,6.6
462,речевой стратегия,20.03,0.0,0.0,0.0,9.8,18.2,20.0,19.7
463,когнитивный механизм,19.89,0.0,0.0,0.0,7.4,14.8,24.2,26.3
464,родственный язык,41.7,19.1,52.4,55.2,36.7,30.6,29.6,17.9
465,переходный глагол,33.97,10.8,26.8,29.1,22.9,20.9,36.0,21.2
466,семантический процесс,19.87,0.0,1.8,14.4,20.3,20.7,11.4,5.2
467,сфера употребление,19.87,15.6,22.5,20.9,17.0,14.4,15.4,18.3
468,диалектный слово,24.63,29.9,29.9,28.8,18.6,23.1,12.5,8.0
469,хантыйский язык,19.82,1.2,0.3,0.6,1.0,15.0,24.8,33.9
470,семантический развитие,19.33,2.4,17.8,19.0,14.1,15.0,15.8,4.2
471,межкультурный общение,19.69,0.0,0.0,0.2,3.7,20.4,18.4,5.6
472,прагматический потенциал,20.12,0.0,0.0,1.6,7.9,18.3,20.3,15.5
473,предикативный единица,19.53,0.0,3.4,18.6,28.5,19.4,9.3,1.4
474,терминологический единица,19.26,1.2,0.3,4.9,10.6,15.7,20.7,4.7
475,туркменский язык,20.18,2.4,150.5,62.4,8.8,7.1,3.8,1.4
476,сравнительный конструкция,19.33,0.0,3.6,4.7,31.7,16.5,14.5,11.3
477,прямой значение,19.66,29.9,24.3,25.3,17.2,13.6,13.2,48.9
478,творительный падеж,19.43,46.7,22.5,25.4,14.4,12.5,16.2,11.3
479,синтаксический организация,18.95,2.4,2.5,22.4,22.7,17.4,11.0,5.2
480,молодежный жаргон,19.87,2.4,0.7,1.7,17.8,23.3,11.2,12.2
481,селькупский язык,19.08,0.0,1.6,6.6,11.0,11.8,23.5,32.0
482,лексикографический практика,19.17,2.4,5.9,15.1,17.3,17.2,13.7,16.0
483,семантический описание,18.59,0.0,0.2,7.5,19.2,19.3,12.0,6.1
484,функциональный синтаксис,18.71,0.0,2.0,20.8,25.4,17.5,10.3,3.3
485,метафорический перенос,19.28,0.0,5.1,7.5,13.5,18.6,14.6,22.6
486,глагольный лексема,19.12,0.0,3.6,19.8,11.8,16.2,15.4,16.9
487,синтаксический позиция,18.89,0.0,4.7,24.0,25.4,13.3,14.5,13.2
488,живой речь,18.59,95.7,32.7,14.6,19.0,14.9,10.5,12.7
489,модель язык,29.48,0.0,1.5,5.9,26.3,28.5,23.4,21.2
490,киргизский язык,18.9,0.0,104.6,56.2,9.8,9.2,4.8,3.8
491,чеченский язык,18.69,0.0,0.8,10.4,4.9,16.5,18.6,0.5
492,организация предложение,18.32,0.0,2.3,26.3,25.4,16.8,9.1,1.4
493,семантический роль,18.19,0.0,0.5,11.9,11.1,15.7,15.4,35.7
494,речевой высказывание,18.32,0.0,1.0,9.7,18.6,18.9,11.4,9.9
495,польский язык,19.42,19.1,23.2,17.1,16.9,16.7,12.5,9.4
496,фонетический система,18.05,3.6,21.1,17.7,20.3,14.9,11.6,1.9
497,пассивный конструкция,18.4,0.0,3.6,44.0,9.8,12.4,14.3,6.6
498,тип предикат,19.44,0.0,1.0,13.9,27.7,17.9,12.4,5.2
499,семантика предложение,18.04,0.0,2.5,19.3,27.4,16.6,9.7,1.4
500,метафорический значение,18.15,4.8,8.8,18.5,17.4,14.9,11.9,46.1
501,категория состояние,18.18,8.4,4.2,11.7,27.2,19.6,7.5,0.9
502,лингвистический дисциплина,19.15,4.8,4.4,17.4,18.5,16.9,13.7,9.9
503,теоретический лингвистика,18.03,0.0,0.5,12.0,18.8,17.9,11.6,7.1
504,коммуникативный компетенция,18.31,0.0,0.0,2.6,8.9,17.6,16.7,13.2
505,язык дагестан,21.84,0.0,1.0,6.5,19.2,21.4,17.1,1.9
506,коми язык,18.82,0.0,3.9,8.4,13.8,16.1,16.9,13.2
507,сослагательный наклонение,18.29,4.8,4.2,16.0,11.6,8.8,23.9,10.3
508,субъект речь,18.09,0.0,1.0,3.3,16.1,20.5,10.9,4.7
509,русский орфография,18.05,74.2,16.0,9.7,15.1,15.5,11.7,37.1
510,оценочный лексика,17.74,0.0,0.3,8.6,24.8,17.1,11.5,3.3
511,стилистический характеристика,19.96,9.6,4.9,20.4,19.4,17.5,13.9,8.9
512,субъективный модальность,18.01,0.0,2.6,8.5,14.0,17.3,13.6,16.0
513,контрастивный лингвистика,17.83,0.0,0.0,2.8,9.4,17.9,15.5,0.9
514,географический термин,26.15,3.6,24.8,32.9,34.2,21.3,14.4,20.7
515,семантический функция,17.85,0.0,7.8,23.1,22.9,17.0,8.3,2.8
516,коммуникативный деятельность,17.77,1.2,1.3,1.4,14.3,17.7,14.3,10.3
517,косвенный речь,17.35,2.4,22.9,18.5,4.7,11.0,16.9,29.6
518,пространственный значение,17.77,4.8,4.1,18.9,11.0,13.5,16.2,10.8
519,концептуальный пространство,17.64,0.0,0.0,0.0,2.0,14.5,21.6,5.2
520,тип речь,17.8,7.2,3.8,15.4,26.1,17.3,8.9,6.6
521,языковый картина,17.36,0.0,0.0,0.1,4.5,17.3,16.9,0.9
522,синтаксический анализ,19.7,0.0,2.6,15.1,18.9,19.4,12.2,14.1
523,лексический сочетаемость,17.69,3.6,7.4,31.8,19.8,15.2,8.9,6.1
524,оценочный компонент,17.88,0.0,0.0,8.5,13.5,18.0,12.9,12.2
525,иноязычный лексика,17.52,6.0,5.2,6.2,17.4,16.7,13.0,3.8
526,грамматический характеристика,17.69,2.4,7.5,19.9,19.0,15.0,11.7,11.3
527,заимствованный лексика,17.44,0.0,5.1,5.9,13.9,17.3,13.1,3.8
528,вариант слово,18.34,7.2,16.7,29.4,17.5,16.6,8.6,3.8
529,медицинский терминология,17.08,0.0,1.1,5.4,19.0,16.7,12.2,8.5
530,языковой концептуализация,16.85,0.0,0.0,0.0,9.5,19.5,11.9,1.9
531,диахронический аспект,17.09,0.0,1.8,5.5,10.6,14.5,16.7,11.3
532,языковой метафора,16.91,2.4,0.0,6.7,16.0,17.6,11.2,6.1
533,глагольный словосочетание,16.73,1.2,10.6,19.4,16.0,15.1,10.1,2.8
534,категория глагол,22.21,3.6,10.5,19.9,22.7,20.7,13.9,6.1
535,выражение модальность,16.91,0.0,4.6,16.2,17.0,17.1,9.2,2.8
536,сложный глагол,21.82,4.8,32.8,19.5,9.7,18.8,14.8,26.8
537,крылатый выражение,17.14,28.7,5.9,8.1,15.9,14.3,14.6,3.8
538,отраслевой лексика,16.69,0.0,0.7,2.1,4.5,15.3,17.5,0.0
539,синтаксический модель,16.78,2.4,5.2,21.0,25.3,14.9,8.5,5.6
540,объективный картина,16.63,3.6,0.7,1.9,10.8,18.3,11.9,4.2
541,категория язык,21.39,0.0,2.9,7.9,17.0,20.3,17.4,5.6
542,речевой средство,16.68,25.1,14.1,9.6,14.5,15.6,11.0,4.7
543,косвенный падеж,17.35,50.3,20.6,15.1,20.4,10.1,15.1,19.7
544,исторический языкознание,16.39,8.4,8.3,11.6,16.0,13.5,13.0,8.9
545,речевой единица,16.37,0.0,3.1,19.5,14.7,14.8,11.0,2.4
546,деловой стиль,16.69,31.1,5.9,8.4,12.2,17.1,10.9,0.9
547,языковой способность,16.6,0.0,0.0,0.9,11.2,16.0,14.5,16.5
548,фразеологический сочетание,16.29,7.2,30.4,22.9,12.9,13.5,8.6,1.4
549,коммуникативный структура,16.21,0.0,0.2,10.2,15.4,15.7,11.4,7.5
550,коммуникативный процесс,16.37,0.0,0.0,2.5,9.7,13.8,17.3,3.8
551,морфологический особенность,16.17,0.0,19.8,12.9,8.2,14.1,11.9,8.9
552,синтаксический строй,16.09,12.0,23.4,19.0,20.4,15.0,6.2,1.4
553,публицистический дискурс,16.29,0.0,0.0,0.0,1.3,12.5,20.0,31.0
554,коммуникативный грамматика,16.2,0.0,0.0,2.6,11.6,17.8,11.3,4.2
555,второстепенный член,16.03,19.1,21.9,28.2,19.7,12.6,7.4,0.5
556,адыгских язык,16.15,0.0,1.3,5.3,26.6,16.3,8.9,6.6
557,лингвистический учение,15.97,0.0,1.0,7.0,10.2,15.9,12.5,2.8
558,номинативный аспект,15.91,0.0,0.7,5.9,19.1,17.2,8.9,4.2
559,лексический фонд,16.1,3.6,10.5,16.9,13.5,11.4,13.8,18.3
560,научный дискурс,16.56,0.0,0.0,0.0,4.1,12.0,21.5,11.3
561,фразеологический состав,16.15,0.0,1.8,20.1,9.2,15.6,10.6,4.7
562,синтаксический свойство,16.13,3.6,4.4,18.3,18.1,13.0,11.4,13.2
563,форма речь,15.86,20.3,10.6,11.8,19.2,15.0,8.6,8.9
564,текстовый категория,15.96,0.0,0.0,3.0,12.1,17.3,11.3,2.8
565,публичный речь,16.03,3.6,2.1,6.3,7.6,17.2,11.3,7.5
566,философия грамматика,15.62,0.0,0.8,13.1,17.7,15.2,9.6,1.9
567,типологический характеристика,15.96,0.0,5.7,10.1,13.5,15.0,11.5,7.1
568,лингвистический типология,16.93,0.0,2.1,15.9,14.6,16.3,11.1,6.6
569,местный падеж,17.14,1.2,33.5,19.5,15.6,9.3,15.3,11.8
570,функциональный разновидность,15.71,3.6,3.1,12.9,17.9,16.6,7.8,2.8
571,структура глагол,23.03,0.0,9.1,22.4,24.8,21.7,13.5,8.9
572,словесный знак,15.92,1.2,5.1,17.3,19.6,15.3,8.1,7.1
573,языковой реализация,15.82,0.0,0.2,1.8,10.4,16.1,12.9,6.6
574,устойчивый фраза,15.52,0.0,1.1,13.8,13.9,15.0,10.3,3.3
575,коммуникативный намерение,15.44,0.0,0.0,5.0,12.9,15.7,11.5,3.8
576,сопоставительный лексикология,15.47,0.0,2.1,11.2,13.5,15.3,10.4,2.4
577,рутульский язык,15.91,0.0,0.5,0.7,13.1,14.1,14.8,18.3
578,аспект лингвистический,15.21,0.0,0.8,4.9,13.2,15.9,10.6,3.8
579,исторический морфология,15.3,1.2,9.3,15.4,13.5,13.9,10.0,2.8
580,часть речь,288.34,68.2,171.4,268.4,272.0,269.3,177.4,79.0
581,английский речь,15.32,1.2,0.3,7.7,15.2,14.9,11.0,4.7
582,концептуальный поле,15.4,0.0,0.0,0.1,1.3,14.4,16.7,3.8
583,речевой сообщение,15.1,0.0,1.0,9.4,18.2,16.4,7.6,2.8
584,корейский язык,16.36,1.2,3.4,2.5,9.1,16.9,12.2,22.6
585,белорусский язык,16.71,19.1,30.1,44.8,13.4,9.9,9.1,5.2
586,чешский язык,16.48,12.0,7.8,11.8,17.4,14.2,12.1,5.2
587,сопоставительный грамматика,15.25,0.0,6.5,12.8,12.0,15.6,9.1,0.9
588,маньчжурский язык,15.61,6.0,22.1,17.0,5.4,12.1,12.2,18.3
589,неопределенный местоимение,15.26,6.0,2.9,13.8,8.5,12.0,14.1,12.7
590,экспрессивный средство,14.97,0.0,2.0,13.7,16.6,13.8,9.8,2.4
591,прагматический характеристика,15.33,0.0,0.0,3.0,10.8,14.4,13.4,11.3
592,восточнославянский язык,16.2,12.0,21.1,38.8,16.6,11.9,7.1,5.2
593,экспрессивный синтаксис,14.84,0.0,0.7,5.0,14.6,14.9,10.6,4.7
594,грамматический описание,15.22,0.0,7.5,13.8,16.9,12.4,11.1,10.8
595,коммуникативный лингвистика,14.65,0.0,0.0,8.2,13.1,14.2,10.9,2.8
596,сочинительный союз,14.91,3.6,14.5,8.2,12.9,13.1,10.9,6.1
597,вводный слово,15.4,8.4,21.9,14.7,14.1,12.2,9.9,21.6
598,диалектный речь,14.85,23.9,14.7,14.5,13.8,13.1,8.8,7.1
599,каракалпакский язык,15.62,0.0,127.8,50.4,8.5,4.1,2.5,1.9
600,лексический синонимия,14.55,3.6,0.8,16.6,18.5,14.9,6.5,3.3
601,именной словосочетание,14.97,9.6,8.2,17.9,16.0,15.5,6.0,4.7
602,концептуальный признак,14.53,0.0,0.0,0.2,0.3,15.8,13.1,3.3
603,субъективный оценка,14.97,10.8,7.8,18.9,18.7,12.6,8.7,7.1
604,грамматический свойство,14.55,3.6,3.9,9.7,16.2,14.0,9.3,4.2
605,лингвистический интерпретация,18.73,0.0,1.3,9.4,16.0,17.7,14.6,4.2
606,субъект действие,14.37,15.6,15.8,19.7,13.0,11.6,8.8,6.6
607,смысловой восприятие,14.24,0.0,1.1,8.2,17.4,15.6,7.0,0.9
608,метафорический моделирование,14.51,0.0,0.0,0.0,1.6,9.2,20.8,12.7
609,германский языкознание,14.2,0.0,1.5,26.5,15.4,12.6,7.3,1.4
610,структура семантика,13.85,0.0,0.0,4.2,11.2,13.1,11.6,4.2
611,русский фразеологизм,14.2,1.2,2.3,6.1,12.4,14.2,10.1,2.4
612,русский двуязычие,14.32,0.0,3.1,22.5,13.5,14.4,6.2,5.2
613,авторский речь,14.47,58.6,27.0,33.6,12.2,9.4,7.1,3.3
614,главный предложение,14.32,2.4,33.3,17.7,12.7,10.0,8.7,20.2
615,языковой компетенция,14.57,0.0,0.0,2.9,5.9,15.4,11.3,16.5
616,греческий язык,22.67,22.7,10.6,18.1,22.4,14.5,23.0,4.7
617,речевой реализация,14.0,0.0,0.8,8.5,19.0,13.7,8.5,2.8
618,именной словообразование,13.88,1.2,16.5,14.6,12.2,12.7,7.9,0.9
619,глагольный категория,14.33,0.0,6.0,11.5,15.0,12.0,10.8,10.8
620,категория падеж,14.23,0.0,17.3,18.0,12.2,10.9,10.0,4.2
621,номинативный предложение,14.08,9.6,4.4,14.7,7.4,13.4,9.8,0.9
622,лингвистический парадигма,14.77,0.0,0.0,0.1,6.4,14.8,13.4,8.0
623,тип семантический,13.88,0.0,0.8,19.5,12.9,13.6,7.3,4.2
624,когнитивный признак,14.01,0.0,0.0,0.0,0.1,14.0,14.2,7.5
625,языковой деятельность,14.76,1.2,0.5,3.1,17.5,15.0,9.9,7.1
626,лингвистический средство,20.62,0.0,1.5,12.8,18.1,18.8,16.1,12.2
627,исходный значение,14.23,12.0,10.8,9.3,9.9,11.4,11.6,22.6
628,контекстный семантика,13.69,0.0,0.2,19.1,16.6,13.7,6.2,0.5
629,синтаксический категория,13.75,2.4,11.9,15.6,16.8,11.9,7.7,4.2
630,неродной язык,13.87,1.2,0.8,7.7,16.0,13.6,9.1,4.7
631,мягкий согласный,14.33,26.3,12.4,10.6,10.3,9.5,14.0,9.9
632,явление язык,28.17,6.0,8.2,18.6,20.1,26.6,21.0,12.7
633,литературный речь,14.27,87.4,32.5,15.2,16.5,10.9,6.6,2.4
634,семантический представление,14.12,2.4,1.6,3.6,9.1,15.9,9.0,6.6
635,лингвистический статус,15.0,0.0,0.3,11.3,12.3,12.4,13.1,9.4
636,язык второй,10.44,10.8,7.4,8.8,10.2,9.3,6.5,10.8
637,лингвистический эксперимент,31.89,0.0,1.3,10.2,22.3,30.5,26.6,17.9
638,возвратный глагол,15.5,7.2,5.6,15.4,7.2,14.7,11.1,4.7
639,языковой категоризации,13.93,0.0,0.0,0.1,3.2,15.9,11.1,0.9
640,модель предложение,13.73,1.2,4.1,23.8,22.9,11.9,5.6,1.9
641,институциональный дискурс,13.92,0.0,0.0,0.0,0.3,9.9,19.1,8.0
642,коммуникативный тип,17.03,0.0,0.8,15.5,20.4,15.8,11.1,0.9
643,экспрессивный лексика,13.96,0.0,1.3,3.6,14.0,16.8,6.6,2.8
644,языковой семья,14.11,10.8,6.4,11.3,7.9,13.6,9.4,14.1
645,семантический потенциал,14.03,0.0,3.4,7.3,17.0,12.8,10.0,4.2
646,прагматический подход,14.26,0.0,0.0,1.8,7.4,12.5,14.6,7.1
647,стилистический окраска,13.89,59.8,22.5,18.5,15.4,10.9,6.8,4.2
648,народный речь,14.34,46.7,48.9,21.9,13.0,9.6,6.3,6.6
649,прагматический установка,13.49,0.0,0.0,8.4,12.8,13.5,8.9,7.5
650,язык анализ,10.22,1.2,2.3,6.8,7.8,9.3,8.1,3.8
651,лексический атлас,13.69,0.0,0.7,1.8,9.7,14.9,9.9,3.3
652,лексический элемент,13.42,2.4,25.3,21.3,12.9,10.7,6.6,4.7
653,русский идеография,13.28,0.0,0.2,8.9,13.0,14.0,7.8,1.4
654,вид глагол,14.31,4.8,4.4,14.3,19.3,12.3,9.0,5.6
655,восприятие речь,13.49,16.8,1.5,8.7,7.1,13.3,10.1,5.6
656,обыденный сознание,13.45,0.0,0.0,0.5,7.1,14.3,10.6,11.3
657,деловой дискурс,13.81,0.0,0.0,0.0,0.1,8.5,20.2,19.7
658,берестяной грамота,13.49,41.9,13.7,5.4,11.2,9.1,11.5,45.1
659,корневой морфема,13.47,3.6,20.4,18.0,14.4,9.3,8.4,25.4
660,ментальный действие,14.13,0.0,0.0,0.1,12.0,16.3,9.0,3.8
661,человеческий язык,13.64,2.4,3.3,9.6,13.6,12.3,10.0,5.2
662,словообразовательный семантика,13.13,0.0,0.2,14.2,12.9,14.3,6.0,1.4
663,лексический структура,13.31,0.0,0.8,1.4,12.3,16.5,6.4,2.4
664,обучение язык,13.65,2.4,3.9,11.2,17.7,11.7,9.4,6.1
665,сопоставительный лингвистика,13.17,0.0,0.2,7.0,10.9,13.1,9.6,4.7
666,система языковой,13.1,0.0,0.7,7.0,11.0,12.9,9.6,3.8
667,категория определенность,13.4,0.0,6.5,10.5,9.7,13.3,8.7,0.0
668,исторический фонетика,13.28,15.6,27.3,17.2,10.1,8.9,9.4,7.5
669,приставочный глагол,19.7,8.4,7.5,9.0,17.6,14.1,19.5,24.0
670,ингушский язык,13.5,0.0,1.0,8.6,2.4,13.0,12.1,0.0
671,непереходный глагол,13.49,3.6,11.9,9.8,10.1,8.7,13.7,8.5
672,время глагол,13.17,7.2,20.3,13.9,10.3,9.7,9.9,5.2
673,разговорный лексика,13.67,13.2,6.5,17.9,11.3,11.5,8.9,10.8
674,подчинительный союз,13.25,2.4,11.8,11.3,14.2,13.4,6.2,4.2
