lemm1,lemm2,lemm3,lemm4,lemm5,freq
литературный,язык,автореф,дис,канд,322
когнитивный,аспект,языковой,категоризации,иркутск,321
очерк,синтаксис,современный,итальянский,язык,320
материал,ежегодный,международный,конференция,диалог,320
система,функциональный,стиль,современный,русский,319
заключение,ДИССЕРТАЦИИпо,тема,романский,язык,319
картина,мир,обиходный,представление,модель,318
русский,язык,Автореф,дис,докт,318
тезис,доклад,международный,научный,конференция,318
лингвистический,номинация,языковой,номинация,общий,318
текст,межвуз,сб,науч,тр,318
простой,предложение,современный,английский,язык,317
коммуникативный,прагматический,аспект,единица,общение,317
значение,оценка,событие,факт,текст,317
труд,институт,языкознание,ан,ссср,316
мир,обиходный,представление,модель,восприятие,316
аспект,Автореф,дисс,канд,филол,316
кн,актуальный,проблема,русский,словообразование,316
функциональный,семантика,оценка,экспрессивность,модальность,316
культурный,концепт,волгоград,архангельск,перемена,316
актуальный,проблема,русский,словообразование,самарканд,315
литературный,язык,Автореф,дисс,канд,315
язык,Изв,ан,ссср,сера,315
проблема,речевой,коммуникация,Межвуз,сб,315
современный,русский,язык,филологический,наука,314
методологический,проблема,исследование,фразеологический,состав,314
семантика,слово,аспект,семантический,исследование,314
литературный,язык,первый,половина,век,313
русский,язык,синтаксис,сложный,предложение,313
соиск,уч,ст,канд,филол,313
Лексико,семантический,поле,глагол,отношение,313
дис,канд,филол,наука,орел,313
язык,апробация,работа,основной,положение,313
грамматика,современный,башкирский,литературный,язык,313
исследовательский,университет,высокий,школа,экономика,313
словарь,русский,народный,говор,Вып,312
курс,курс,курс,курс,курс,312
русский,литературный,язык,новый,время,311
единица,Межвуз,сб,науч,тр,311
современный,немецкий,язык,Дисс,канд,310
персональный,дискурс,Сб,науч,тр,310
нерешенный,вопрос,теория,речевой,жанр,309
науч,тр,Моск,гос,пед,309
конгресс,исследователь,русский,язык,труд,309
академия,наука,ссср,серия,литература,308
фразеологический,семантика,язык,воронеж,Изд,308
болдырев,когнитивный,семантика,курс,лекция,308
знак,значение,знание,очерк,когнитивный,307
современный,русский,язык,текст,автореф,307
речь,сб,науч,ст,саратов,307
проблема,исследование,фразеологический,состав,язык,306
поиск,новый,путь,развитие,лингвострановедение,306
национальный,исследовательский,университет,высокий,школа,306
анализ,значимый,единица,русский,язык,305
значение,знание,очерк,когнитивный,философия,305
русский,язык,автореферат,дис,канд,304
единица,исследование,методологический,проблема,когнитивный,304
французский,язык,автореф,дис,канд,304
словарь,русский,язык,ока,слово,303
дис,канд,филол,наука,тюмень,303
исследователь,русский,язык,русский,язык,303
Изв,ан,ссср,сера,литература,302
конгресс,исследователь,русский,язык,русский,302
словарь,русский,литературный,язык,конец,301
фонология,ударение,интонация,словообразование,морфология,301
Автореф,дно,канд,филол,наука,301
основа,общий,теория,перевод,лингвистический,301
знание,очерк,когнитивный,философия,язык,301
немецкий,язык,текст,автореф,дис,301
современный,английский,язык,Автореф,канд,300
научный,конференция,профессорско,преподавательский,состав,300
канд,филол,наука,санкт,петербург,300
способ,представление,мир,вопрос,языкознание,300
сборник,научный,труд,Отв,ред,300
лингвистический,анализ,художественный,текст,теория,300
достижение,поставлять,цель,необходимо,решать,299
аспект,текст,автореф,дис,канд,299
электронный,ресурс,режим,доступ,Загл,299
фонетика,фонология,ударение,интонация,словообразование,298
функциональный,стиль,современный,русский,литературный,298
дис,канд,филол,наука,ставрополь,298
поставлять,цель,необходимо,решать,следующий,298
язык,язык,динамический,мир,дубно,298
лукьянов,экспрессивный,лексика,разговорный,употребление,297
Межвуз,сб,науч,тр,Отв,297
соискание,ученый,степень,канд,филол,297
коммуникация,Межвуз,сб,науч,тр,297
лексика,дагестанский,язык,название,животное,297
вестник,российский,университет,дружба,народ,297
язык,миф,культура,символ,жизнь,295
вопрос,психолингвистика,трибуна,молодой,ученый,295
исторический,развитие,лексика,тюркский,язык,294
исторический,грамматика,русский,язык,морфология,294
теория,функциональный,грамматика,качественность,Количественность,294
язык,основа,теория,устойчивый,фраза,293
основной,проблема,лексический,семантика,новое,293
терминология,современный,проблема,русский,терминология,293
словарь,современный,русский,язык,языковой,293
большой,фразеологический,словарь,русский,язык,293
ресурс,электрон,давать,режим,доступ,293
современный,русский,язык,ученый,записка,292
литературный,язык,Дис,канд,филол,292
современный,русский,язык,языковой,изменение,292
словарь,русский,язык,электронный,ресурс,292
прогресс,Вып,теория,речевой,акт,291
русский,язык,проблема,грамматический,семантика,290
анализ,поэтический,текст,структура,стих,289
язык,современный,проблема,кавказский,языкознание,289
объект,междисциплинарный,исследование,учебный,пособие,289
электронный,ресурс,электрон,давать,режим,289
русский,язык,основа,теория,устойчивый,288
структура,значение,слово,воронеж,Изд,288
язык,электронный,ресурс,дата,обращение,288
разговорный,употребление,проблема,семантика,новосибирск,287
ментальность,способ,представление,мир,вопрос,287
мир,сквозь,призма,словообразование,макрокосм,287
межвузовский,сборник,научный,труд,Вып,287
русский,язык,языковой,изменение,конец,287
международный,научно,практический,конференция,язык,287
англ,фр,немой,исп,польск,286
Дис,канд,филол,наука,пятигорск,286
автореф,дисс,докт,филол,наука,286
основной,понятие,исчисление,речевой,акт,285
современный,русский,язык,основа,теория,285
речевой,коммуникация,Межвуз,сб,науч,285
логический,анализ,язык,язык,эстетика,285
лексика,Автореф,дис,канд,филол,283
русский,язык,Межвуз,сб,науч,283
аспект,Дисс,канд,филол,наука,283
литература,заключение,ДИССЕРТАЦИИпо,тема,русский,282
изучение,речевой,жанр,обзор,работа,282
век,дис,канд,филол,наука,282
этимологический,словарь,русский,язык,текст,281
словарь,русский,говор,средний,урал,280
др,краткий,словарь,когнитивный,термин,280
очерк,история,русский,литературный,язык,280
ежегодник,иберийский,кавказский,языкознание,тбилиси,280
электронный,ресурс,дата,обращение,сайт,280
толковый,словарь,русский,язык,спб,279
предложение,теоретический,проблема,синтаксис,современный,279
концепт,культура,образ,понятие,символ,279
национальный,культурный,специфика,речевой,общение,279
современный,русский,язык,Автореф,канд,278
история,русский,литературный,язык,век,278
когнитивный,семантика,история,персоналия,идея,278
государственный,университет,филология,искусствоведение,Вып,278
дис,канд,филол,наука,кемерово,277
автореф,дис,доктор,филол,наука,277
русский,литературный,язык,второй,половина,276
историко,этимологический,словарь,осетинский,язык,276
русский,литературный,язык,конец,начало,276
прикладной,вопрос,языкознание,универсальный,типовой,276
дис,канд,филол,наука,пермь,275
структура,высказывание,семантический,структура,слово,275
развитие,фонетика,современный,русский,язык,274
теория,функциональный,грамматика,Субъектность,Объектность,274
ван,язык,познание,коммуникация,текст,274
словарь,электронный,ресурс,режим,доступ,274
развитие,функциональный,стиль,современный,русский,273
современный,русский,язык,теоретический,курс,273
четыре,глава,заключение,список,использовать,273
глава,ВВЕДЕНИЕ,диссертация,часть,автореферат,273
семантический,основа,образный,средство,язык,273
общий,объем,работа,составлять,страница,273
тр,тверь,Твер,гос,уна,273
энциклопедический,словарь,текст,гл,ред,273
построение,научно,технический,терминология,вопрос,272
картина,мир,языковой,картина,мир,272
компонент,семантический,структура,высказывание,семантический,272
словарь,справочник,лингвистический,термин,пособие,272
новый,путь,развитие,лингвострановедение,концепция,272
Слышкин,методологический,проблема,когнитивный,лингвистика,272
крылатый,слово,литературный,цитата,образный,271
слово,литературный,цитата,образный,выражение,271
история,лексика,русский,литературный,язык,271
развитие,современный,русский,язык,словообразование,271
грамматический,исследование,функционально,стилистический,аспект,271
механизм,экспрессивный,окраска,языковой,единица,271
литература,Автореф,дис,канд,филол,271
гг,Автореф,дис,канд,филол,271
фрагмент,концептуальный,анализ,слово,память,271
узбекский,язык,Автореф,дис,канд,271
русский,язык,сегодня,Вып,Сб,271
известие,волгоградский,государственный,педагогический,университет,271
научно,технический,терминология,вопрос,теория,270
ЛЭС,лингвистический,энциклопедический,словарь,Гл,270
семантический,структура,высказывание,семантический,структура,270
Дис,канд,филол,наука,уфа,270
семантика,история,персоналия,идея,результат,270
экспрессивный,синтаксический,конструкция,современный,русский,269
разговорный,речь,Автореф,дис,канд,269
тез,докл,науч,конф,волгоград,269
современный,английский,язык,теоретический,курс,269
текст,текст,автореф,дис,канд,269
Объектность,коммуникативный,перспектива,высказывание,определенность,268
методика,преподавание,иностранный,язык,омск,268
науч,тр,тверь,Твер,гос,268
языкознание,большой,энциклопедический,словарь,гл,268
структура,простой,предложение,современный,английский,267
апробация,работа,основной,положение,работа,267
московский,государственный,областной,университет,серия,267
Субъектность,Объектность,коммуникативный,перспектива,высказывание,266
современный,английский,язык,учеба,пособие,266
Фасмер,этимологический,словарь,русский,язык,265
бодуэн,де,Куртенэ,избранный,труд,265
лексический,система,современный,русский,язык,265
словарь,новый,слово,русский,язык,265
дис,докт,филол,наука,спб,265
сопоставительный,изучение,словообразование,славянский,язык,265
исп,польск,яз,Вступ,ст,265
международный,научно,практический,конференция,проблема,265
словарь,эпитет,русский,литературный,язык,264
исследование,список,литература,диссертационный,ИССЛЕДОВАНИЯкандидат,264
гносеологический,аспект,философский,проблема,языкознание,264
анализ,фразеологический,единица,современный,русский,264
Дис,канд,филол,наука,иркутск,264
язык,ежегодник,иберийский,кавказский,языкознание,264
дискурс,Сб,науч,тр,волгоград,264
коммуникация,межвуз,сб,науч,тр,264
вестник,воронежский,государственный,университет,серия,264
дис,канд,филол,наука,львов,263
русский,язык,проблема,художественный,речь,263
татарский,язык,Автореф,дис,канд,263
вв,автореф,дис,канд,филол,263
известие,ан,ссср,отделение,литература,262
английский,язык,автореферат,дис,канд,262
автореф,дис,канд,филос,наука,262
вестник,иркутский,государственный,лингвистический,университет,262
ТСРЯ,толковый,словарь,русский,язык,261
фр,немой,исп,польск,яз,261
НКРЯ,национальный,корпус,русский,язык,261
актуальный,проблема,русский,словообразование,материал,260
дисс,канд,филол,наука,минск,260
функциональный,грамматика,Субъектность,Объектность,коммуникативный,260
научный,издательство,большой,российский,энциклопедия,260
грамматический,строй,современный,русский,язык,259
дисс,канд,филол,наука,казань,259
конструкция,современный,русский,литературный,язык,259
становление,дискурсивный,мышление,языковой,личность,259
образ,русский,речь,историко,этимологический,259
общий,теория,перевод,лингвистический,проблема,259
мир,дис,канд,филол,наука,259
язык,текст,язык,способность,Сб,258
гуманитарный,наука,опыт,философский,анализ,258
Вып,логический,анализ,естественный,язык,258
Межвуз,сб,науч,тр,калинин,258
новый,онтология,анализ,языковой,сознание,258
проблема,речевой,коммуникация,межвуз,сб,258
даль,толковый,словарь,живой,великорусский,257
русский,язык,синтаксис,осложнять,предложение,257
грамматика,Субъектность,Объектность,коммуникативный,перспектива,257
режим,доступ,свободный,электронный,ресурс,257
исторический,грамматика,русский,литературный,язык,256
стилистически,окрашивать,лексика,русский,язык,256
поставлять,цель,решаться,следующий,задача,256
функциональный,грамматика,Локативность,бытийность,Посессивность,256
краткий,очерк,история,русский,литературный,256
говор,Автореф,дис,канд,филол,256
словарь,словообразовательный,элемент,немецкий,язык,256
библия,книга,священный,писание,ветхий,256
азербайджанский,язык,Автореф,дис,канд,256
модель,речевой,жанр,жанр,речь,255
труд,история,русский,литературный,язык,255
краткий,словарь,термин,лингвистика,текст,255
автореферат,дис,кандидат,филологический,наука,255
институт,лингвистический,исследование,ран,санкт,255
языковой,личность,культурный,концепт,сб,255
урало,алтайский,исследование,урало,алтайский,255
алтайский,исследование,урало,алтайский,исследование,255
современный,русский,язык,Уч,зап,254
научный,литература,язык,стиль,жанр,254
текст,Автореф,дис,докт,филол,254
дисс,канд,филол,наука,ростов,254
межвуз,сб,науч,тр,Вып,254
язык,введение,диссертация,часть,автореферат,253
русский,глагол,принцип,типологический,анализ,253
глагол,принцип,типологический,анализ,язык,253
фактор,адресат,известие,ан,ссср,253
новый,лексика,современный,английский,язык,253
теоретический,значимость,диссертационный,исследование,заключаться,253
науч,тр,волгоград,архангельск,перемена,253
язык,проблема,художественный,речь,лексикология,252
школьный,фразеологический,словарь,русский,язык,252
межкультурный,общение,новый,онтология,анализ,252
язык,языковой,изменение,конец,столетие,252
язык,эстетика,концептуальный,поле,прекрасный,252
картина,мир,дис,канд,филол,252
современный,русский,язык,синтаксис,сложный,251
гайсин,Лексико,семантический,поле,глагол,251
научно,практический,конференция,русский,язык,251
яз,Автореф,дис,канд,филол,251
докл,высш,школа,Филол,наука,251
материал,национальный,корпус,русский,язык,251
язык,составлять,второй,отделение,императорский,250
русский,предложение,бытийный,тип,структура,250
анализ,язык,язык,эстетика,концептуальный,250
международный,научно,практический,конференция,посвящать,249
работа,основной,положение,диссертация,обсуждаться,249
русский,язык,актуальный,проблема,русский,249
языкознание,международный,съезд,славист,доклад,249
проблема,семантический,анализ,фразеологический,единица,249
Дис,канд,филол,наука,челябинск,249
казахский,язык,Автореф,дис,канд,249
вестник,московский,государственный,лингвистический,университет,249
избранный,труд,история,русский,литературный,248
грамматика,Локативность,бытийность,Посессивность,обусловленность,248
очерк,исторический,морфология,русский,язык,248
общение,новый,онтология,анализ,языковой,248
национальный,корпус,русский,язык,электронный,248
составлять,второй,отделение,императорский,академия,247
лексикон,человек,психолингвистический,исследование,воронеж,247
речь,Дисс,канд,филол,наука,247
лингвистический,исследование,ран,санкт,петербург,247
дис,канд,филол,наука,иваново,247
язык,сегодня,Вып,Сб,статья,247
речевой,коммуникация,межвуз,сб,науч,247
язык,язык,эстетика,концептуальный,поле,247
русский,языковой,сознание,опыт,лингвокультурологического,247
дискурс,текст,дис,канд,филол,247
современный,русский,лексикология,русский,окказиональный,246
русский,лексикология,русский,окказиональный,слово,246
язык,авто,реф,дис,канд,246
федоров,основа,общий,теория,перевод,245
дис,канд,филол,наука,нижний,245
канд,филол,наука,улан,удэ,245
языковой,сознание,опыт,лингвокультурологического,анализ,245
язык,художественный,проза,избранный,труд,244
семантика,синонимический,средство,язык,текст,244
тип,дискурс,языковой,личность,институциональный,244
аспект,текст,дис,канд,филол,244
описание,английский,эквивалент,синоним,антоним,243
Автореф,дис,канд,филос,наука,243
Сб,науч,тр,волгоград,архангельск,243
основа,словарный,состав,современный,английский,243
функциональный,грамматика,проблема,функциональный,грамматика,242
идеографический,описание,английский,эквивалент,синоним,242
культура,логический,анализ,язык,культурный,242
дис,канд,филол,наука,таганрог,242
сб,науч,тр,воронеж,Изд,242
текст,список,литература,диссертационный,ИССЛЕДОВАНИЯкандидат,242
этимологический,основа,словарный,состав,современный,242
язык,автореф,дис,докт,филол,242
адресат,Изв,ан,ссср,сера,241
Дис,канд,филол,наука,москва,241
дисс,канд,филол,наука,екатеринбург,241
список,использовать,литература,включать,наименование,240
общий,объем,диссертация,составлять,страница,240
личность,культурный,концепт,сб,науч,240
дата,обращение,сайт,электронный,ресурс,240
современный,русский,язык,вопрос,синтаксис,239
русский,язык,словообразование,Членимость,слово,239
ЭССЯ,этимологический,словарь,славянский,язык,239
русский,глагол,идеографический,описание,английский,239
вв,Дис,канд,филол,наука,239
часть,речь,современный,русский,язык,239
КСКТ,краткий,словарь,когнитивный,термин,239
обращение,оглавление,ДИССЕРТАЦИИкандидат,филологический,наука,239
язык,вопрос,синтаксис,современный,русский,238
лексический,вопрос,перевод,художественный,проза,238
краткий,словарь,когнитивный,термин,Кубрякова,238
диалогический,речь,современный,английский,язык,238
аварский,язык,Автореф,дис,канд,238
действие,очерк,современный,русский,стилистика,238
автореф,дис,док,филол,наука,238
исторический,грамматика,русский,язык,синтаксис,237
художественный,текст,Дис,канд,филол,237
газетный,полоса,некоторый,особенность,язык,237
синтаксический,конструкция,современный,русский,литературный,237
мир,Автореф,дис,канд,филол,237
практический,значимость,работа,определяться,возможность,237
синтаксис,диалогический,речь,современный,английский,237
ан,ссср,институт,русский,язык,237
основа,функциональный,грамматика,языковой,интерпретация,237
толковый,словарь,русский,язык,начало,237
корпус,русский,язык,электронный,ресурс,237
материал,английский,язык,дис,канд,237
проблема,языковой,картина,мир,вопрос,236
глагол,идеографический,описание,английский,эквивалент,236
обращение,сайт,электронный,ресурс,дата,236
материал,современный,немецкий,язык,Автореф,235
апробация,работа,основной,положение,исследование,235
типологический,описание,современный,германский,язык,234
национальный,культурный,аспект,оценочный,семантика,234
толковый,словарь,русский,язык,современный,234
семантический,представление,эмоция,вопрос,языкознание,234
английский,язык,дисс,канд,филол,234
национальный,корпус,русский,язык,НКРЯ,234
международный,научно,практический,конференция,современный,234
язык,текст,Автореф,дис,канд,234
современный,немецкий,язык,дис,канд,234
бавлПУ,бесВ,средВ,счК,южВБ,234
ресурс,дата,обращение,сайт,электронный,234
структурно,типологический,описание,современный,германский,233
язык,актуальный,проблема,русский,словообразование,233
анализ,единица,лексический,уровень,томск,233
константа,словарь,русский,культура,текст,233
энциклопедический,словарь,текст,Гл,ред,233
дата,обращение,оглавление,ДИССЕРТАЦИИкандидат,филологический,233
ран,тамбов,издательский,дом,ТГУ,233
толковый,словарь,русский,общий,жаргон,232
современный,русский,литературный,язык,Дис,232
зап,Моск,гос,пед,ин,232
языкознание,ран,тамбов,издательский,дом,232
фонетика,современный,русский,литературный,язык,231
анализ,значимый,единица,язык,принцип,231
текст,автореф,канд,филол,наука,231
славянский,языковой,моделирующий,семиотический,система,230
дисс,канд,филол,наука,томск,230
проблема,функциональный,грамматика,категория,морфология,230
русский,язык,логический,анализ,язык,230
международный,научный,конференция,актуальный,проблема,230
грамматика,языковой,интерпретация,идея,время,230
речевой,общение,коммуникативный,прагматический,подход,230
науч,тр,ВГПУ,волгоград,перемена,229
семантический,анализ,фразеологический,единица,современный,229
апробация,работа,основной,теоретический,положение,229
функциональный,грамматика,языковой,интерпретация,идея,229
когнитивный,лингвистика,вопрос,когнитивный,лингвистика,229
русский,литературный,язык,русский,язык,228
Дис,канд,филол,наука,тверь,228
семантический,тип,видовой,противопоставление,русский,228
когнитивный,аспект,языковой,категоризации,Сб,228
язык,отраслевой,лексика,дагестанский,язык,228
развитие,синтаксис,современный,русский,язык,227
сравнительно,исторический,лексика,дагестанский,язык,227
Лакофф,Дж,лингвистический,гештальты,новый,227
язык,научный,доклад,высокий,школа,227
введение,четыре,глава,заключение,библиография,227
точка,зрение,теория,речевой,акт,227
некоторый,лингвистический,проблема,изучение,термин,227
современный,русский,литературный,язык,вопрос,227
дис,канд,филол,наука,омск,226
Межвуз,сб,науч,тр,воронеж,226
культура,издательский,фирма,восточный,литература,226
зарубежный,лингвистика,Вып,контрастивный,лингвистика,226
русский,литературный,язык,ан,ссср,225
языковой,картина,мир,Автореф,дис,225
современный,русский,язык,словообразование,Членимость,225
современный,русский,устный,научный,речь,225
фразеологический,словарь,русский,язык,значение,225
отраслевой,лексика,дагестанский,язык,соматический,225
лексика,дагестанский,язык,соматический,термин,225
Межвуз,сб,науч,тр,Вып,224
язык,русский,культура,издательский,фирма,224
исследование,Дис,канд,филол,наука,224
современный,языкознание,материал,научно,теоретический,224
тип,видовой,противопоставление,русский,глагол,224
свободный,электронный,ресурс,режим,доступ,224
словообразование,современный,русский,литературный,язык,223
исторический,лексикология,русский,язык,век,223
кунин,англо,русский,фразеологический,словарь,223
полоса,некоторый,особенность,язык,современный,223
русский,культура,издательский,фирма,восточный,223
современный,русский,язык,автореферат,дис,223
функционально,смысловой,тип,речь,описание,223
семантический,система,язык,воронеж,Изд,223
дискурс,Дис,канд,филол,наука,223
вестник,МГОУ,серия,русский,филология,223
словарь,синоним,русский,язык,практический,222
системный,анализ,значимый,единица,русский,222
лексико,семантический,система,язык,текст,222
культурный,концепт,сб,науч,тр,222
институт,языкознание,академия,наука,ссср,221
историко,этимологический,словарь,русский,язык,221
семантический,класс,русский,глагол,свердловск,221
разговорный,речь,русский,разговорный,речь,221
лексический,система,язык,внутренний,организация,221
константа,словарь,русский,культура,Изд,221
текст,автореферат,дис,канд,филол,221
мир,автореф,дис,канд,филол,221
современный,русский,литературный,язык,ан,220
синоним,русский,язык,практический,справочник,220
глава,заключение,список,использовать,научный,220
межвузовский,сборник,научный,труд,пермь,220
русский,литературный,язык,Автореф,дисс,220
Лакофф,Дж,постулат,речевой,общение,220
речевой,системность,научный,стиль,сравнительно,220
дис,канд,филол,наука,днепропетровск,220
практический,ценность,работа,определяться,возможность,220
Автореф,дис,канд,пед,наука,220
речь,дис,канд,филол,наука,220
межвуз,сб,науч,тр,саратов,220
исследование,слово,текст,избранный,труд,220
межвузовский,научно,методический,конференция,преподаватель,219
дисс,канд,филол,наука,алма,219
язык,внутренний,организация,категориальный,аппарат,219
Сб,ст,ан,ссср,ин,219
современный,русский,литературный,язык,автореф,219
психолингвистический,исследование,слово,текст,избранный,219
современный,русский,литературный,язык,русский,218
некоторый,особенность,язык,современный,газетный,218
испанский,язык,Автореф,дис,канд,218
система,язык,внутренний,организация,категориальный,218
картина,мир,Автореф,дис,канд,218
российский,университет,дружба,народ,серия,218
словарь,электронный,ресурс,дата,обращение,218
сравнительный,словарь,турецкий,татарский,наречие,217
язык,Автореф,дисс,канд,филолог,217
языкознание,ран,Волгогр,гос,пед,217
проблема,речевой,коммуникация,саратов,Изд,217
лингв,фак,высш,учеба,заведение,217
дис,канд,филол,наука,душанбе,217
языкознание,материал,научно,теоретический,семинар,217
когнитивный,основание,изучение,семантика,слово,217
русский,язык,электронный,ресурс,режим,217
текст,текст,дис,канд,филол,217
система,форма,речевой,высказывание,спб,216
память,логический,анализ,язык,культурный,216
государственный,университет,серия,гуманитарный,наука,216
дис,канд,филол,наука,нальчик,216
французский,язык,дис,канд,филол,216
Стернин,методологический,проблема,когнитивный,лингвистика,216
персональный,дискурс,сб,науч,тр,216
доступ,свободный,электронный,ресурс,режим,216
самопознание,этнокультурный,специфика,языковой,сознание,215
дисс,канд,филол,наука,одесса,215
основа,образный,средство,язык,новосибирск,215
современный,французский,язык,Дис,канд,215
анализ,текст,основа,теория,принцип,215
русский,литературный,язык,автореф,дис,215
стилистика,современный,английский,язык,учебник,215
актуальный,проблема,лексикология,тезис,доклад,214
публикация,структура,работа,диссертация,состоять,214
Дис,канд,филол,наука,барнаул,214
словарь,русский,язык,начало,век,214
текст,Изв,ан,ссср,сера,214
предложение,Дис,канд,филол,наука,214
явление,городской,культура,екатеринбург,арго,214
государственный,учебный,научный,центр,колледж,214
словарь,русский,старожильческий,говор,средний,213
библиографический,список,заключение,ДИССЕРТАЦИИпо,тема,213
область,Автореф,дис,канд,филол,213
системный,анализ,регулятивный,средство,диалогический,213
анализ,регулятивный,средство,диалогический,общение,213
материал,современный,английский,язык,Дис,213
учебный,педагогический,издательство,министерство,просвещение,213
педагогический,издательство,министерство,просвещение,рсфср,213
данные,национальный,корпус,русский,язык,213
русский,язык,текст,учеба,пособие,213
толковый,словарь,словообразовательный,единица,русский,212
семантика,художественный,текст,доклад,международный,212
художественный,текст,доклад,международный,конференция,212
словарь,культура,век,ключевой,понятие,212
проблема,функциональный,грамматика,полевой,структура,212
материал,современный,английский,язык,текст,212
немецкий,язык,текст,дис,канд,212
русский,язык,вопрос,синтаксис,современный,211
уч,степень,канд,филол,наука,211
словарь,словообразовательный,единица,русский,язык,211
глава,заключение,библиографический,список,список,211
единица,Автореф,дис,канд,филол,211
сознание,этнокультурный,специфика,языковой,сознание,211
эмоциональный,нагрузка,слово,опыт,психолингвистический,210
нагрузка,слово,опыт,психолингвистический,исследование,210
язык,материал,международный,научный,конференция,210
система,язык,проблема,структурный,лингвистика,210
апробация,работа,результат,исследование,обсуждаться,210
пословица,загадка,структура,смысл,текст,210
грамматика,современный,якутский,литературный,язык,210
избранный,работа,семиотика,поэтика,пер,209
введение,логический,анализ,язык,ментальный,209
ДИССЕРТАЦИИпо,тема,язык,народ,зарубежный,209
тема,язык,народ,зарубежный,страна,209
язык,народ,зарубежный,страна,азия,209
народ,зарубежный,страна,азия,африка,209
зарубежный,страна,азия,африка,абориген,209
страна,азия,африка,абориген,америка,209
языковой,сознание,носитель,русский,язык,208
русский,литературный,язык,Дис,канд,208
век,Автореф,дисс,канд,филол,208
существительное,Автореф,дис,канд,филол,208
вестник,волгоградский,государственный,университет,серия,208
анализ,автореф,дис,канд,филол,208
ресурс,режим,доступ,свободный,электронный,208
встречаться,толковый,словарь,русский,общий,207
особенность,язык,современный,газетный,публицистика,207
заключение,список,использовать,научный,литература,207
русский,литературный,язык,Отв,ред,207
работа,использоваться,следующий,метод,исследование,207
конференция,молодой,ученый,актуальный,проблема,207
материал,международный,научный,конференция,посвящать,207
филологический,анализ,текст,основа,теория,207
методика,исследование,структура,концепт,методологический,207
языковой,картина,мир,дис,канд,207
языковой,картина,мир,автореф,дис,207
русский,речь,проблема,современный,русский,207
речь,проблема,современный,русский,язык,207
школа,язык,русский,культура,издательский,206
научный,стиль,русский,литературный,язык,206
анализ,Дис,канд,филол,наука,206
фразеологический,номинация,особенность,семантика,фразеологизм,206
составлять,страница,заключение,ДИССЕРТАЦИИпо,тема,206
государственный,учебный,педагогический,издательство,министерство,206
сборник,пословица,загадка,структура,смысл,206
эмоционально,чувственный,компонент,значение,слово,206
опыт,русский,фразеология,сборник,образный,205
методологический,проблема,анализ,язык,ереван,205
народный,культура,логический,анализ,язык,205
языковой,личность,система,норма,стиль,205
французский,язык,Автореф,дисс,канд,205
языковой,сознание,этнокультурный,специфика,языковой,205
электронный,ресурс,сайт,дата,обращение,205
чужой,опыт,русский,фразеология,сборник,204
русский,фразеология,сборник,образный,слово,204
русский,язык,Автореф,канд,филол,204
Сб,науч,тр,ВГПУ,волгоград,204
современный,русский,художественный,литература,проза,204
текст,Сб,науч,тр,МГПИИЯ,204
дис,канд,филол,наука,белгород,204
защита,выноситься,следующий,основной,положение,204
вопрос,синтаксический,строй,иберийский,кавказский,204
картина,мир,автореф,дис,канд,204
большой,словарь,русский,жаргон,спб,203
явление,мотивация,слово,лексикологический,аспект,203
член,лексический,система,язык,проблема,203
ан,ссср,серия,лит,ры,203
БТС,большой,толковый,словарь,русский,203
словарь,Автореф,дис,канд,филол,203
вестник,московский,университет,серия,лингвистика,203
исследование,структура,концепт,методологический,проблема,203
русский,литературный,язык,начало,век,202
лексический,система,язык,проблема,структурный,202
роль,говорить,социально,лингвистический,исследование,202
синтаксический,строй,иберийский,кавказский,язык,202
структура,концепт,методологический,проблема,когнитивный,202
словарь,синоним,русский,язык,первый,201
язык,словарь,современный,русский,литературный,201
фразеологический,словарь,русский,язык,свыше,201
социальный,роль,говорить,социально,лингвистический,201
дагестанский,язык,соматический,термин,махачкала,201
большой,англо,русский,фразеологический,словарь,201
толковый,словарь,русский,язык,электронный,201
когнитивный,теория,метафора,теория,метафора,200
вестник,ВГУ,серия,гуманитарный,наука,200
грамматический,словарь,русский,язык,словоизменение,200
структура,социальный,коммуникация,проблема,семиосоциопсихологии,200
перспектива,высказывание,определенность,неопределенность,спб,200
обсуждение,вопрос,стилистика,вопрос,языкознание,200
системный,семантический,словарь,русский,язык,200
язык,Дисс,канд,филолог,наука,200
бюллетень,уральский,лингвистический,общество,екатеринбург,200
